GALASHIELS STANTLING CRAIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT431392,Long,-2.905563,Lat,55.643001,Elevation,800,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5066/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,
January,,,1.71,2.76,4.4,2.44,2.44,1.34,1.8,0.83,4,1.4,2.1,1.45,3,3,2.42,1.8,0.8,3.4,4.6,1.4,1.46,3.7,2.6,0.7,3.7,0.4,2.62,4.05,1.7,1.39,4.32,3.94,2.06,1.93,4.46,2.93,2.59,3.56,3.76,5.5,3.41,1.76,2.92,3.43,4,4.2,7.3,1.21,2.67,1.96,3.91,3.27,2.35,1.39,3.95,4.05,4.26,6.1,1.54,2.4,3.5,4.23,2.6,5.9,2.8,3.64,3.65,,1.75,3.08,3.5,0.65,3.4,2.25,2.39,3.7,2.7,1.5,3.5,,,,,,,,,,,,,,,,,,,
February,,,2.04,3.64,4.06,3,1.4,1.1,0.82,1.34,1.16,0.16,1.4,3.4,6.5,0.55,1.06,2.15,1.06,1.36,3.66,0.16,1.4,4.5,3.8,1.4,1.3,1.5,1.14,1.65,3.4,3.13,2.43,1.8,3.83,4.43,3.12,0.82,3.35,1.64,3.15,0.5,3.16,5.43,1.47,5.87,4.12,1.24,3.46,1.06,1.06,2.46,0.59,3.07,0.12,2.12,3.1,4,1.1,2.14,1.25,3.5,1.7,1.92,1.45,4.1,2,0.85,2.5,,3.15,2.12,0.5,0.8,2.55,2.34,2.5,3.1,3.2,0.48,4,,,,,,,,,,,,,,,,,,,
March,,,2.13,2.09,2.6,1.3,3.8,1.38,1.6,1.8,1.8,3.82,0.75,0.7,1.8,3.95,3,4.85,1.3,2.6,2.1,3.82,1.3,4.3,2.06,3.8,1.44,2,6,6,2.12,2.65,3,4.09,4.36,2.25,3.26,1.56,0.72,3.17,4,3.48,2.35,1.56,0.77,2.15,1.75,2.7,5.06,0.8,1.91,0.87,2.69,1.4,3.58,1.15,3.88,4.43,0.85,3.4,3.34,2.9,1.55,1.4,0.42,1.45,1.9,4.05,1.5,,2.35,2.1,1.18,0.79,1.75,1.3,1.95,1.95,2.2,1.5,2,,,,,,,,,,,,,,,,,,,
April,,,4.44,1.6,2.66,3.16,1.35,1.1,1.26,3.66,1.5,1.3,1.45,1.35,1.58,1.12,1.06,1.4,3.63,3.4,2,1.3,2,1.3,1.19,3.25,1.06,2.08,1.45,3.8,3.4,2.85,0.65,4.36,1.81,0.28,3.3,1.93,0.56,3.16,2.82,0.55,2.72,3.03,1.58,3.62,2.15,2.2,0.7,2.1,1.63,3.55,2.89,1.41,3.44,3.85,1.43,1.64,0.25,1.54,2.23,1.4,1.35,1.2,1.96,1.35,0.42,5,2.36,,2.3,2.9,1.67,1.72,0.8,0.45,0.6,0.8,1.5,2.8,2,,,,,,,,,,,,,,,,,,,
May,,,2.03,1,1.9,3.43,4.55,1.4,1.5,2,1.8,1.9,3,2.6,5.1,0.8,0.56,1.2,2.2,3.6,2,2.66,2.8,2,3,1.13,6,3.48,2.38,3,1.94,1.5,1,3.71,2.21,1.7,4.2,2.16,2.85,1.09,3.57,2,1.12,3.16,4.59,5.28,2.73,1.8,1.42,1.63,1.33,3.37,2.42,2.37,2.54,1.1,1.06,3.63,3.05,0.82,2.1,2.6,2.5,4.15,2.6,3.46,1.6,3.3,1.65,,1.12,2.4,2.28,2.15,4.55,2.15,0.78,2.55,1.9,0.65,1.7,,,,,,,,,,,,,,,,,,,
June,,,4.29,3,1.1,0.51,1.24,1.2,2.95,1.16,3.12,1.12,3,2.5,3,1.45,3.4,3.64,1.8,1.04,4.75,2.6,3.06,1.4,2.66,1.35,1.8,4,1.25,2.14,1.4,3.4,5.12,1.1,1.76,0.81,2.35,0.95,0.29,1.18,1.12,0.3,1.02,1.21,1.32,0.28,3.65,3.25,4.6,2.22,2.23,5.67,1.1,1.4,2.55,3.48,1.65,1.65,4.09,1.95,0.85,1.7,1.33,2.56,2,2.43,1.75,2.55,4.15,,1.8,1.24,1.83,1.68,2.3,0.9,2.5,1.75,3.4,2.9,0.75,,,,,,,,,,,,,,,,,,,
July,,,2.65,4.66,7.1,1.26,3.06,3.34,4.8,4.82,3.14,3.93,1.5,2.6,2.16,6.25,3,1.85,1.12,3.4,3.9,1.16,3.25,4,2.26,2,1.75,3.23,3,3.78,5.42,0.79,1.86,0.46,1.11,3.76,5.39,1.5,3.74,0.41,3.08,3.24,3.74,2.14,4.73,0.95,2.8,2.65,1.18,3.24,3.68,2.6,3.49,3.37,1.93,1.19,4.02,3.71,3.58,2.95,5.25,2.85,2.45,1.3,2.35,2.27,2.78,2.35,1.4,,3.3,2.95,1.55,3.78,3.1,1.75,3.75,3.1,5.3,1.82,2.45,,,,,,,,,,,,,,,,,,,
August,,,2.15,2.7,1.6,2.35,2,1.8,2.4,5.12,6.13,6,4.3,2.9,5.25,4.06,1.8,4.56,3.3,1.06,4.4,5.12,1.26,3.8,3.8,3.7,7,4.37,1.5,2,7.4,0.65,5.54,1.12,2.03,2.8,4.1,6.57,2.14,2.12,4.25,4.7,2.85,5.94,3.72,2.9,3,7.4,5.58,4.28,8.06,4.85,0.79,1.27,3.68,1.74,1.94,3.63,2.59,1.32,1.35,3.53,2.05,5.74,2.12,1.63,3.8,0,8,,3.85,4.37,3,2.27,5,0.55,8.1,6.13,2.95,0.5,,,,,,,,,,,,,,,,,,,,
September,,,2.04,4.06,2.12,4.35,2.55,4.06,0.68,1.24,2,4.15,1.8,1,1,0.36,4.8,2.5,3,1,2.2,1.7,1.83,3,1.2,2.25,0.63,1.15,3,3.14,0.41,1.12,2.65,2.2,1.07,2.95,2.13,1.83,6.02,1.76,1.45,1.7,2.15,2.28,3.38,4.92,3.87,8.2,1.4,0.34,3.74,1.22,3.62,1.1,2.72,3.59,3.65,1.79,1.84,2.54,3.08,0.85,2.95,2,4.55,3.65,4.25,1.6,2.95,,5.7,1.74,1.55,2.36,4.2,1.2,2.36,1.9,1.6,0.7,1.83,,,,,,,,,,,,,,,,,,,
October,,,3.09,3.66,1.2,3.45,5.73,1.33,1.55,5.08,2.1,3.6,4.5,1.96,3.45,5.2,4.22,2.12,6.3,2.12,4.5,3,2,8,0.7,2.8,6,6.53,1,5.4,3.7,3.55,4.33,3.45,1.45,2.36,5.92,4,4.15,3.37,2.7,3.3,2.86,3.38,3.31,3.16,3.7,3.9,6.81,3.56,4.22,1.38,5.95,2.96,5.14,5.98,2.8,2.65,7.15,4.95,3.05,4.08,3.05,2.45,3.35,3.7,0.56,0.75,1.86,,1.45,0.32,2.84,1.6,5.15,2.2,2.4,2,1.65,3,5,,,,,,,,,,,,,,,,,,,
