WEST AYTON - DERWENT HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE988845,Long,-0.485,Lat,54.247,Elevation,110,ft,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949
January,,4.22,2.10,3.19,3.72,2.64,3.49,1.81,2.23,1.06,2.65,1.96,4.04,2.64,3.66,3.35,1.28,1.69,1.63,3.26,4.10,4.51,3.01,4.19,1.76,3.39,4.96,3.48,1.94,5.28,1.67,2.94,5.67,0.65
February,,0.86,2.05,1.60,0.99,0.33,2.42,4.39,1.86,2.26,2.23,1.26,1.73,1.37,2.00,2.27,0.78,3.93,2.44,4.02,3.68,3.39,1.28,1.40,1.87,5.04,1.56,0.56,2.29,1.76,1.62,2.52,1.33,0.81
March,,2.09,1.14,4.76,2.18,0.89,3.53,1.29,1.27,2.08,0.72,1.49,3.29,0.13,2.56,1.13,2.03,2.34,2.78,0.64,1.18,3.87,0.19,2.49,1.80,3.73,0.62,0.54,0.70,0.57,1.60,3.22,1.22,1.28
April,,2.19,1.66,1.51,3.59,1.35,1.73,1.57,1.67,2.71,1.19,3.26,1.52,1.28,4.24,3.80,2.28,1.08,3.24,2.49,1.54,3.21,0.26,1.99,2.58,1.48,0.94,1.21,1.93,2.99,2.22,2.78,1.68,1.97
May,,1.27,1.99,1.15,1.97,2.12,0.80,3.61,4.07,1.86,1.54,1.17,1.54,1.50,1.00,2.15,6.36,2.12,1.22,1.22,1.73,4.10,3.79,2.12,0.77,1.36,2.62,2.09,0.75,2.04,2.00,1.10,1.68,1.89
June,,2.05,0.98,1.13,0.76,0.19,2.02,0.70,1.41,0.05,2.98,3.28,3.88,1.54,1.57,3.64,0.70,1.26,1.22,2.01,3.02,1.01,2.25,2.91,0.79,0.53,0.75,1.95,2.53,3.14,2.08,2.39,4.40,1.17
July,,1.30,4.33,2.31,5.20,1.59,3.85,2.46,3.97,1.67,3.47,2.38,0.72,1.80,4.50,4.00,2.56,1.36,1.71,0.37,2.70,1.99,2.95,2.76,6.53,2.09,2.86,1.19,1.76,1.51,3.53,1.78,2.33,1.71
August,,6.08,2.25,1.92,1.71,4.00,3.37,3.30,1.76,3.44,3.18,5.58,3.93,2.10,3.13,2.32,1.81,0.69,2.38,1.47,2.31,0.78,2.72,2.51,1.24,2.98,1.93,3.40,3.68,3.90,3.19,0.56,2.80,1.87
September,,0.50,5.86,0.98,1.26,1.20,2.30,2.21,2.04,3.12,1.57,4.26,1.73,0.29,4.46,5.45,2.98,1.83,1.44,4.48,1.63,1.64,1.46,1.26,1.88,0.66,2.15,3.20,4.40,1.38,4.44,1.60,1.57,
October,,3.29,1.35,5.99,1.99,2.12,1.47,1.75,3.52,1.89,3.38,1.99,3.98,1.90,1.89,2.18,3.51,4.98,2.00,4.35,2.00,3.10,3.64,4.59,3.75,3.75,1.60,1.47,2.94,2.39,1.67,0.73,1.83,
November,,1.92,1.52,3.55,0.48,2.91,1.70,3.98,1.41,4.98,3.08,5.45,2.99,3.25,4.06,2.01,1.32,3.09,3.27,5.23,2.97,3.33,3.12,2.99,2.89,3.01,1.17,3.55,3.79,1.63,5.90,2.58,0.80,
December,3.92,2.11,5.17,3.01,3.05,2.13,2.96,3.18,2.16,4.74,1.33,2.59,1.74,5.21,2.29,1.53,1.35,1.16,4.50,2.71,1.85,6.55,3.88,3.01,2.99,0.62,1.80,1.25,2.28,1.45,3.21,2.07,1.81,
Total,,27.88,30.40,31.10,26.90,21.47,29.64,30.25,27.37,29.86,27.32,34.67,31.09,23.01,35.36,33.83,26.96,25.53,27.83,32.25,28.71,37.48,28.55,32.22,28.85,28.64,22.96,23.89,28.99,28.04,33.13,24.27,27.12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_24_pt1/006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
