POOLE-PITWINES-GAS-WORKS-(OLD-8IN-GAUGE),,,,,,,,,,,,,,,,,,,,
Grid ref,SZ016907,Long,-1.978701,Lat,50.71594,Elevation,8,ft,,,,,,,,,,,,
Station no,1581/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,2.94,2.77,0.97,5.47,5.9,3.73,5.96,3.78,4.51,4.12,7.39,2.25,2.28,4.42,3.47,5.85,,
February,,,4.64,0.02,3.3,3.08,6.09,0.85,1.75,4.16,3.7,0.38,1.08,0.41,1.98,3.09,2.11,1.14,,
March,,,3.82,2.99,1.14,3.31,3.89,0.31,1.19,3.36,3.71,2.59,0.92,0.29,0.94,1.23,7.35,1.14,,
April,,,1.21,1.67,3.74,1.6,2.21,0,2,1.18,1.8,2,1.23,1.73,0.85,2.55,2.62,1.71,,
May,,,1.26,0.81,0.7,0.7,2.83,1.5,0.93,1.29,2.13,3.79,2.33,0.24,2.2,3.76,1.44,2.15,,
June,,,0.93,1.33,2.65,2.57,0.4,0.66,2.21,0.18,1.38,0.43,0.97,1.81,2.31,3.41,1.56,2.64,,
July,,,1.59,0.19,0.38,3.93,2.03,2.17,4.42,3.23,2.17,1.55,1.92,2.56,0.64,0.85,0.76,1.12,,
August,,,0.99,3.54,2.97,0.29,2.33,2.23,2.26,0.01,3.89,3.48,1.77,2.27,2.09,4.26,0.51,3.39,,
September,,,2.28,2.43,3.59,3.32,2.38,2.14,2.97,1.71,0.82,2.95,1.83,1.98,2.62,4.62,1.42,2.94,,
October,,,1.72,1.39,6.27,1.79,5.69,3.58,6.36,5.47,0.82,4.84,4.78,5.22,3.7,1.31,1.59,1.91,,
November,,,1.19,2.31,7.8,3.59,1.73,5.61,6.01,8.4,2.07,1.62,1.79,7.69,1.13,5.86,1.72,1.58,,
December,,,1.08,9.01,5,4.02,4.44,4.21,2.08,2.69,2.54,4.38,3.2,2.88,5.23,4.02,3.55,5.34,,
Total,,,23.65,28.46,38.51,33.67,39.92,26.99,38.14,35.46,29.54,32.13,29.21,29.33,25.97,39.38,28.1,30.91,,
,,,,,,,,,,,,,,,,,,,,
8in Gauge,,,,,,,,,,,,,,,,,,,,
1949 New 5in Gauge installed Unknown exactly when so taken as Jan 1st,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Post 1960 known as POOLE GASWORKS SRC_ID 7930,,,,,,,,,,,,,,,,,,,,
1933-1982,,,,,,,,,,,,,,,,,,,,
