BUCKINGHAM-MARKET-HILL ( Sandpit Farm ),,,,,,,,,,
Grid ref,SP702343,Long,-0.978796,Lat,52.00271,Elevation,260,ft,,
Station no,1022,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.44,4.18,1.61,,4.03,3.17
February,,,1.24,,1.32,0.39,3.48,2.74,0.01,2.47
March,,,0.43,,1.64,0.85,1.78,1.68,3.22,0.95
April,,,1.43,,0.61,1.27,0.32,0.86,2.08,0.51
May,,,1.5,,4.56,0.31,1.82,2.06,0.53,1.57
June,,,1.55,,2.02,2.93,1.52,3.6,1.38,2.1
July,,,2.69,,0.12,3.79,3.39,2.17,2.42,4.44
August,,,2.56,3.62,0.43,3.88,2.25,2.43,0.8,3.87
September,,,1.23,2.22,1.35,2.37,3.96,2.19,0.02,3.18
October,,,1.73,2.24,1.6,2.07,2.01,2.65,2.23,5.11
November,,,1.21,4.52,1.8,0.79,1.54,2.22,1.66,3.87
December,,,0.47,1.93,2.06,2.85,2.76,2.73,4.39,3.14
Total,,,,,19.95,25.68,26.44,,22.77,34.38
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Gauge moved to Sandpit Farm 1953,,,,,,,,,,
1953 Jan estimated,,,,,,,,,,
1958 Jan estimated,,,,,,,,,,
