"BUCKINGHAM - SANDPIT FARM",,,,,,,,,,,,
Grid ref,SP702343,Long,-0.978796,Lat,52.002710,,,,,,,
Station no,1022,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.78,1.54,0.91,,2.44,4.18,1.61,2.90,4.03,3.17,,
February,2.94,0.49,1.24,,1.32,0.39,3.48,2.74,0.01,2.47,,
March,3.17,2.64,0.43,,1.64,0.85,1.78,1.68,3.22,0.95,,
April,2.63,1.67,1.43,,0.61,1.27,0.32,0.86,2.08,0.51,,
May,2.70,1.89,1.50,,4.56,0.31,1.82,2.06,0.53,1.57,,
June,1.34,0.95,1.55,,2.02,2.93,1.52,3.60,1.38,2.10,,
July,1.22,0.30,2.69,,0.12,3.79,3.39,2.17,2.42,4.44,,
August,3.56,1.70,2.56,3.62,0.43,3.88,2.25,2.43,0.80,3.87,,
September,1.53,1.76,1.23,2.22,1.35,2.37,3.96,2.19,0.02,3.18,,
October,0.77,2.71,1.73,2.24,1.60,2.07,2.01,2.65,2.23,5.11,,
November,4.60,,1.21,4.52,1.80,0.79,1.54,2.22,1.66,3.87,,
December,1.70,,0.47,1.93,2.06,2.85,2.76,2.73,4.39,3.14,,
Total,28.94,,16.95,,19.95,25.68,26.44,28.23,22.77,34.38,,
Calc annual,28.94,15.65,16.95,14.53,19.95,25.68,26.44,28.23,22.77,34.38,,
Difference,0.00,NaN,0.00,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
