EASBY HALL,,,,,,,,,,,,,,,,
Grid ref,NZ579087,Long,-1.108,Lat,54.470,Elevation,355,ft,,,,,,,,
Station no,RR4601,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914
January,2.70,3.37,1.49,1.14,2.65,2.49,0.29,2.91,0.79,1.73,0.81,1.90,2.46,3.49,4.61,
February,1.51,5.68,2.80,1.20,1.64,3.27,1.36,1.99,1.32,2.16,1.73,2.63,1.02,1.39,1.27,
March,2.23,1.77,2.49,0.91,2.56,1.85,1.55,2.05,0.66,2.68,4.02,1.07,2.80,3.13,3.03,
April,2.97,1.16,1.62,2.06,1.84,1.58,2.76,1.04,2.72,3.62,2.64,3.63,1.40,0.30,3.45,0.65
May,4.09,1.45,2.05,2.76,2.85,4.73,0.98,4.22,3.29,1.94,1.67,2.27,1.06,1.96,1.27,2.34
June,1.42,4.48,2.01,2.39,4.81,1.38,1.18,0.97,3.37,0.80,4.47,1.78,4.66,2.76,0.82,4.35
July,1.09,1.71,6.50,3.18,4.22,2.76,1.45,1.69,1.50,2.69,2.92,3.07,0.93,6.67,1.14,5.55
August,0.86,6.64,1.42,2.81,1.92,3.12,2.75,2.28,2.13,2.68,4.80,3.69,2.36,5.64,1.22,1.35
September,3.33,0.88,0.81,1.12,3.16,1.93,3.18,0.65,0.52,2.12,3.05,1.19,2.46,2.27,1.37,3.28
October,3.68,6.15,1.74,2.74,7.75,0.58,3.63,5.36,5.10,1.15,2.83,3.95,2.48,2.47,2.70,3.02
November,1.91,3.20,4.89,1.13,2.56,2.53,6.15,4.79,2.84,1.49,1.70,3.49,4.98,4.05,1.67,3.64
December,2.73,1.96,5.14,2.79,1.25,2.84,0.45,2.48,3.39,1.34,4.40,2.75,4.78,1.62,1.93,6.95
Total,28.52,38.45,32.96,24.23,37.21,29.06,25.73,30.43,27.63,24.40,35.04,31.42,31.39,35.75,24.48,
,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/210,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/059,,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/068,,,,,,,,,,,,,,,,
