PINNER HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ111915,Long,-0.396,Lat,51.6118,Elevation,405,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,2.01,2.17,2.69,1.18,3.87,3.92,,,,,1.19,4.26,3.33,1.87,3.55,0.95,4.44,1.47,3.03,0.39,1.33,0.83,2.76,1.92,2.35,3.58,2.57,0.75,1,2.45,1.83,0.79,1.62,2.61,2.46,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,1.84,0.64,0.65,0.84,2.35,4.13,,,,,1.43,1.12,1.35,1.62,1.06,2.5,1.7,1.57,3.98,2.37,3.28,1.3,3.71,1.24,2.83,0.64,0.57,1.29,2.61,0.61,0.01,1.28,2.96,1.83,0.13,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,2.27,3.08,0.56,2.51,1.05,1.7,,,,,1.32,2.71,2.46,0.49,0.76,2.63,2.46,0.74,0.75,0.89,2.06,1.01,0.98,1.53,1.9,1.44,2,2.91,1.57,1.67,1.17,1.24,0.46,1.83,1.51,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,1.17,1.88,0.64,1.03,0.3,1.96,,,,,2.68,1.46,0.7,1.56,1.19,2.65,2.63,3.54,3.04,1.93,0.89,3.06,1.23,1.29,2.09,1.45,1.02,2.19,1.87,1.17,0.78,0.89,0.13,1.88,1.61,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,0.74,3.66,1.39,1.9,3.06,2.62,,,,,0.84,2.64,1.9,0.53,2.62,0.75,2.99,4.37,3.47,0.38,1.09,1.4,1.95,0.71,2.84,4.4,1.63,1.23,3.61,1.08,2.74,1.38,1.48,1.78,0.14,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,3.24,2.45,4.5,1.69,2.11,4.21,,,,,3.36,4.02,1.8,1.66,3.59,1.63,1.04,4.25,5.41,3.64,2.07,3.57,1.59,1.99,2.2,0.86,0.94,2.6,0.95,2.49,1.24,2.49,0.76,2.08,1.02,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,3.38,1.82,0.87,0.58,3.46,2.61,,,,,3.86,2.96,2.14,2.37,5.06,1.44,3.49,1.02,3.78,5.01,1.74,2.32,3.1,2.06,0.31,2.27,0.88,3.59,1.88,4.7,3.36,2.14,2.54,2.93,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,0.96,2.4,2.59,0.66,4.87,2.65,,,,,1.04,2.78,1.8,1.69,1.39,2.25,3.36,5.14,5.81,0.67,4.28,1.84,1.03,1.28,0.9,0.88,2.43,3.35,2.34,2.09,4.16,4.02,1.91,3.67,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,1.82,1.69,3.41,1.94,0.48,5.59,,,,,4.37,1.27,2.81,3.16,2.19,5.12,0.9,1.52,3.27,5.04,2.04,2.83,3.24,1.61,4.26,1.85,2.54,0.84,1.68,0.72,1.44,2.67,1.14,1.34,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,0.97,3.08,2.56,1.15,6.49,1.46,,,,,1.27,5.08,3.14,3.47,3.65,1.71,1.89,2.09,0.77,5.08,2.27,5.94,2.08,1.01,3.88,2.77,1.34,1.25,2.99,1.12,6,4.02,4.99,3.64,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
