TAUNTON (ST. GEORGE'S RECTORY),,,,,,,,,,,,
Grid ref,ST223244,Long,-3.109000,Lat,51.013709,,,,,,,
Station no,2070/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.44,3.19,0.54,1.80,4.71,2.74,2.06,2.59,3.60,2.33,,
February,4.33,0.73,1.16,2.21,2.51,0.20,4.13,3.43,0.17,0.69,,
March,3.32,2.35,0.73,3.84,0.71,0.77,1.95,0.58,3.17,4.49,,
April,2.60,2.38,2.52,0.14,1.12,1.91,0.01,0.64,2.65,2.17,,
May,2.78,3.22,1.58,1.51,3.07,0.31,1.36,2.32,0.63,1.30,,
June,0.64,2.12,1.40,2.57,2.59,1.13,3.69,2.96,1.28,2.00,,
July,1.69,0.67,1.84,1.90,1.29,1.98,2.75,2.12,1.48,3.90,,
August,4.01,3.62,1.89,2.30,0.68,2.49,2.36,1.94,1.71,7.00,,
September,2.13,3.20,2.65,2.45,1.89,4.60,2.86,4.09,0.17,2.72,,
October,0.76,3.95,3.13,1.59,0.67,1.80,1.96,1.71,2.74,9.85,,
November,7.11,4.36,1.68,6.01,3.53,0.70,2.05,2.27,5.22,2.93,,
December,2.72,2.49,0.87,2.57,5.13,4.47,2.54,3.96,6.54,3.75,,
Total,35.53,32.28,19.99,28.89,27.90,23.10,27.72,28.61,29.36,43.13,,
Calc annual,35.53,32.28,19.99,28.89,27.90,23.10,27.72,28.61,29.36,43.13,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
