HEDDON-ON-THE-WALL VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ132669,Long,-1.795205,Lat,54.996507,Elevation,435,ft,,,,,,,,,,,,
Station no,RR7482,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.7,1.05,2.77,1.55,3.15,4.52,,,,,,
February,,,,,,,,,1.86,1.99,3.09,0.97,2.45,0.8,,,,,,
March,,,,,,,,,3.51,4.81,0.58,2.58,1.79,3.08,,,,,,
April,,,,,,,,,2.73,2.69,2.34,1.64,0.22,2.77,,,,,,
May,,,,,,,,,1.84,1.79,2.34,0.84,2.74,2.44,,,,,,
June,,,,,,,,,0.38,2.48,1.43,3.59,5.68,1.12,,,,,,
July,,,,,,,,,3.44,2,2.99,0.8,4.92,0.66,,,,,,
August,,,,,,,,,2.04,3.33,3.03,2.85,5.22,1.81,,,,,,
September,,,,,,,,0.6,2.22,1.91,0.86,2.28,2.7,4.62,,,,,,
October,,,,,,,,6.86,1.94,2.34,2.72,2.62,3.24,2.1,,,,,,
November,,,,,,,,1.78,1.56,0.68,2.99,3.03,1.59,1.46,,,,,,
December,,,,,,,,3.05,1.01,3.91,2.04,3.3,2.05,1.12,,,,,,
Total,,,,,,,,,24.23,28.98,27.18,26.05,35.75,26.5,,,,,,
