"ALDEBURGH (IKEN WAY)",,,,,,,,,,,,
Grid ref,TM444573,Long,1.571847,Lat,52.159828,,,,,,,
Station no,1364/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.88,2.72,0.91,1.89,2.19,4.20,1.31,2.27,2.13,3.95,,
February,3.42,0.97,1.21,2.38,2.34,1.62,2.28,3.19,0.17,1.24,,
March,2.75,3.01,0.37,2.26,1.84,0.66,1.18,1.34,1.58,1.71,,
April,2.93,0.73,1.47,0.41,0.22,0.92,0.29,1.26,1.66,0.82,,
May,1.80,1.49,1.74,1.32,2.51,0.58,1.17,2.99,0.21,0.86,,
June,1.10,1.38,0.98,2.66,2.74,1.72,1.60,3.22,0.51,1.58,,
July,2.07,1.18,2.49,2.18,0.71,1.57,3.28,2.60,1.81,2.52,,
August,3.04,3.78,1.73,4.59,2.39,3.80,3.19,2.51,1.96,3.19,,
September,2.74,4.20,1.62,1.09,0.89,1.37,3.22,2.10,0.00,3.20,,
October,0.60,2.00,1.70,1.19,5.00,1.85,1.54,2.03,2.06,7.28,,
November,3.17,5.09,1.08,3.84,0.64,1.07,1.66,1.17,2.91,3.14,,
December,1.70,2.49,1.17,1.82,1.47,2.11,1.83,3.07,2.95,3.11,,
Total,27.20,29.04,16.47,25.63,22.94,21.47,22.55,27.75,17.95,32.60,,
Calc annual,27.20,29.04,16.47,25.63,22.94,21.47,22.55,27.75,17.95,32.60,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,,
