HEPWORTH (SPRING HEAD) (B),,,,,,,,,,,,,,,,,,,,
Grid ref,SE179068,Long,-1.731261,Lat,53.557521,Elevation,1165,ft,,,,,,,,,,,,
Station no,3182/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,4.2,5.5,7.05,3.75,3.2,4,6.6,8,,,,,,
February,,,,,,,5,1.55,3.15,3.25,6.7,1.6,2.95,1.95,,,,,,
March,,,,,,,3.1,0.75,3.5,3.4,6.55,2.35,1.8,0.62,,,,,,
April,,,,,,,3,0.4,2.3,2.95,3.6,1.7,2.4,2.75,,,,,,
May,,,,,,,3.25,3.8,2.7,0.7,3.4,3.75,2.85,3.35,,,,,,
June,,,,,,,1.35,3.6,2.9,0.78,0.9,1.3,2.23,2,,,,,,
July,,,,,,,2.5,4.05,6.9,2.8,1.98,3.2,1.5,2.95,,,,,,
August,,,,,,,1.05,3.8,1.8,1.2,4.28,5.55,3.8,4.1,,,,,,
September,,,,,,,1.65,3,1.9,3.1,0.4,2,4.25,6.6,,,,,,
October,,,,,,,3.7,9,3.5,5.7,5,4.2,2.28,4.2,,,,,,
November,,,,,,,2.7,5.1,7.55,8.55,3.7,1.65,3,8,,,,,,
December,,,,,,,3.35,4.45,3.45,3.75,2.45,3.2,2.15,4.55,,,,,,
Total,,,,,,,34.85,45,46.7,39.93,42.16,34.5,35.81,49.07,,,,,,
,,,,,,,,,,,,,,,,,,,,
1939 June 2.9 and total estimated thus removed.,,,,,,,,,,,,,,,,,,,,
