HEPWORTH (SPRING HEAD) NEW SITE A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE179068,Long,-1.731261,Lat,53.557521,Elevation,1165,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3182/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,5.6,5.9,3.7,3.5,4,6.8,8,5.72,6,3.65,9.25,1.7,2.6,3.9,5.4,1.35,3.45,3.65,6.65,2.65,4.25,4.7,5.9
February,,,,,,,,1.7,3.25,4.1,6.5,1.8,3.3,2.2,4.75,6.7,4.8,3.3,2.55,7.55,4.5,1.3,2.72,3.9,3.9,1.8,3.2,5.93,0.2,3.3
March,,,,,,,,0.75,3.4,3.5,6.2,2.4,2.1,0.65,1.3,2.46,8,2,0.95,2.1,5.45,2.4,2.25,3.45,3.25,1.55,2.2,3.05,1.6,3.1
April,,,,,,,,0.4,2.3,3.05,3.4,1.75,2.65,2.7,2.9,2.15,4.8,2.3,3.95,4,2.45,2.35,3.15,0.55,1.05,3.1,0.3,1.2,5.4,2.1
May,,,,,,,,3.8,2.6,0.65,3.2,3.8,2.87,3.4,4.3,2.6,3.5,1.55,2.5,2.84,5.55,2.5,2.75,4.75,4.35,1.2,1.05,3.9,1,2.5
June,,,,,,,,3.6,2.9,0.8,0.95,1.35,2.27,2.1,3.65,4.85,3.15,4.85,0.65,1.2,0.7,1.95,3.85,1.75,3.15,3.4,1.15,5.56,1.9,1.2
July,,,,,,,,4,7,3.5,1.9,3.4,1.48,3,1.95,3.15,1.9,1.3,4.45,2.1,2.85,1.8,4.25,3.3,0.85,7.5,3.45,5.65,2.45,4.7
August,,,,,,,,4,1.8,1.25,4.4,5.7,3.7,4.15,3.4,4.55,0.5,4.65,2.3,3.2,5.8,2.8,3.8,6.25,0.75,7.45,6.04,2.75,1.05,5.2
September,,,,,,,,2.9,1.9,3.15,0.4,2.2,4.1,6.6,1.97,6.05,2.15,1.45,1.35,5.1,2.45,3.9,2.55,4.4,1.45,4.35,4.9,4,0.25,4.25
October,,,,,,,3.65,10,3.5,5.95,5.25,4.65,2.3,4.4,5.98,2.25,1.2,1.85,4.15,2.25,1,6.55,2.35,6.35,2.55,2.1,4,3.35,3.85,8.85
November,,,,,,,2.65,5.9,7.6,8.8,3.8,1.7,3.3,8.22,0.73,7.7,5.25,1.7,6.05,5.5,9.8,2.4,3.65,7.6,2.25,1.35,2.95,0.95,5,6.4
December,,,,,,,3.3,4,3.55,3.6,2.7,3.4,2.2,4.6,2.85,4.05,5.2,2.95,7.45,2.5,7.3,3.3,1.9,5.85,5.15,5.3,5.55,5,8.3,5.35
Total,,,,,,,,46.65,45.7,42.05,42.2,36.15,37.07,50.02,39.5,52.51,44.1,37.15,38.05,40.94,51.75,36.65,34.57,51.6,32.35,45.75,37.44,45.59,35.7,52.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
