CHRISTCHURCH-MUDEFORD (THE LAWN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ184920,Long,-1.7406,Lat,50.7276,Elevation,15,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,3.71,0.85,3.59,1.06,2.31,2.76,2.29,3.85,3.09,1.21,0.76,3.29,2.51,1.35,1.71,4.17,3.61,0.82,2.56,0.6,2.9,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,3.64,3.21,3.61,1.28,2.51,2.68,3.42,0.79,0.85,0.95,1.52,0.69,0.05,1.56,3.62,2.58,0.05,0.31,3.21,2.19,2.87,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.47,0.75,2.3,0.61,0.94,2.3,1.67,2.78,1.2,3.21,2.52,0.95,4.03,0.7,0.65,1.15,1.79,2.6,4.69,0.53,0.43,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.98,1.97,0.43,2.86,0.86,1.92,1.22,1.7,1.07,1.18,2.23,2.92,0.95,0.67,0.01,1.99,2.19,0.81,2.63,1.14,2.35,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,1.53,0.67,1.04,1.21,2.13,1.27,3.28,4.4,1.65,1.7,1.76,2.11,1.58,1.12,0.64,1.17,0.23,0.22,1.72,3.07,1.01,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,3.47,2.32,1.3,2.71,1.99,2.61,2.82,0.29,0.77,2.49,0.71,2.85,1.83,1.19,1.11,1.9,1.42,2.05,2.66,0.93,1,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,2.15,2.86,1.42,1.31,2.95,2.27,0.28,3.07,0.53,2.81,2.08,2.79,1.41,2.08,4.92,4.5,3.57,0.87,0.73,0.25,0.25,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,3.74,0.92,3.64,1.56,0.71,1.36,0.44,0.88,1.79,1.8,3.01,1.25,4.01,3.31,0.88,3.34,2.03,3.64,3.7,2.06,0.52,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,3.08,3.14,1.66,2.18,4.61,1.87,3.91,2.44,3.47,1.37,0.86,1.52,0.94,2.72,1.05,3,0.05,7.12,1.99,0.87,2.63,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,0.73,5.72,1.49,7.13,2.35,1.31,4.04,3.73,1.32,2.23,6.47,0.81,7.69,4.39,4.58,3.3,3.65,2.37,1.11,4.26,1.59,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
