"MANOR PARK ALBANY ROAD",,,,,,,,,,,,
Grid ref,TQ418855,Long,0.043761,Lat,51.550578,,,,,,,
Station no,RR2878,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.21,,,,,,,,,,,
February,3.04,,,,,,,,,,,
March,0.69,,,,,,,,,,,
April,0.65,,,,,,,,,,,
May,1.06,,,,,,,,,,,
June,2.61,,,,,,,,,,,
July,1.69,,,,,,,,,,,
August,3.28,,,,,,,,,,,
September,0.60,,,,,,,,,,,
October,1.55,,,,,,,,,,,
November,1.77,,,,,,,,,,,
December,2.26,,,,,,,,,,,
Total,21.41,,,,,,,,,,,
Calc annual,21.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
