STOW-BARDOLPH-STOW-FEN-PUMPING-STATION,,,,,,,,,,
Grid ref,TF598058,Long,0.359497,Lat,52.62644,Elevation,8,ft,,
Station no,1464/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.01,2.89,2.91
February,,,,,,,,2.72,0.12,1.31
March,,,,,,,,0.95,1.5,1.19
April,,,,,,,,0.78,1.02,0.49
May,,,,,,,0.67,3.37,0.66,0.53
June,,,,,,,1.6,3.27,0.79,2.12
July,,,,,,,1.94,2.64,2.67,2.56
August,,,,,,,1.59,3.21,1.39,3.34
September,,,,,,,3.94,2.29,0.06,2.24
October,,,,,,,1.34,1.46,1.33,4.35
November,,,,,,,1.06,1.31,1.37,3.42
December,,,,,,,1.67,2.47,3.71,3
Total,,,,,,,,26.48,17.51,27.46
