TUNBRIDGE WELLS (HURSTWOOD LANE),,,,,,,,,,,,
Grid ref,TQ576395,Long,0.251115,Lat,51.133093,,,,,,,
Station no,330/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.62,1.33,1.66,4.35,5.47,2.58,3.86,,,,
February,,1.00,1.39,2.26,2.40,0.93,5.09,2.35,,,,
March,,3.54,0.27,3.73,1.32,1.06,1.14,1.95,,,,
April,,2.27,2.51,0.52,0.26,1.24,0.31,1.62,,,,
May,,1.33,1.65,2.53,5.08,0.52,1.37,2.08,,,,
June,,1.49,1.95,3.15,2.76,2.70,1.46,5.74,,,,
July,,0.80,3.34,3.02,2.53,3.37,4.50,1.82,,,,
August,,4.26,2.12,3.21,1.02,4.18,2.70,5.10,,,,
September,,3.54,3.94,2.53,2.87,3.51,3.32,3.92,,,,
October,1.72,3.23,3.31,2.57,4.73,1.98,1.30,3.76,,,,
November,7.02,4.61,1.74,6.56,1.56,0.90,3.62,,,,,
December,4.28,2.98,1.02,2.03,3.24,4.99,2.90,,,,,
Total,,31.67,24.57,33.77,32.12,30.85,30.29,,,,,
Calc annual,13.02,31.67,24.57,33.77,32.12,30.85,30.29,32.20,0.00,0.00,,
Difference,NaN,0.00,0.00,0.00,-0.00,0.00,-0.00,NaN,NaN,NaN,,
