"KIRTON IN LINDSEY",,,,,,,,,,,,
Grid ref,SK934990,Long,-0.594092,Lat,53.479447,,,,,,,
Station no,2582/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.87,1.60,0.85,1.19,1.04,3.95,1.32,1.97,2.38,4.89,,
February,2.88,0.60,1.59,1.93,2.22,1.53,1.83,3.58,0.30,2.13,,
March,3.24,2.63,0.63,1.36,2.44,1.02,1.15,2.04,1.59,1.39,,
April,0.74,0.86,1.89,0.20,0.74,1.16,0.17,0.35,2.73,1.08,,
May,3.49,1.11,1.88,2.64,2.99,0.75,1.25,1.81,0.38,0.67,,
June,0.69,3.89,1.51,1.70,3.25,3.07,1.84,3.88,0.92,0.63,,
July,0.69,1.30,2.34,2.79,0.68,4.89,3.01,4.90,2.66,4.11,,
August,5.69,1.25,2.18,4.13,0.54,4.17,3.68,2.69,0.60,2.73,,
September,1.18,2.87,0.93,1.88,0.99,1.65,4.17,1.96,0.00,2.13,,
October,1.27,1.94,1.86,3.18,1.15,1.31,0.96,1.73,1.84,4.79,,
November,4.61,2.36,1.19,4.53,1.01,0.90,2.24,1.02,2.23,3.38,,
December,1.61,2.27,0.97,2.87,1.86,1.59,2.15,3.20,2.62,3.30,,
Total,27.96,22.68,17.82,28.40,18.91,25.99,23.77,29.13,18.25,31.23,,
Calc annual,27.96,22.68,17.82,28.40,18.91,25.99,23.77,29.13,18.25,31.23,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
