"STROUD (LYPIATT PARK)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2160,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,4.93,4.30,5.10,1.00,5.16,
February,,,,,,,2.50,3.21,2.50,0.90,0.50,
March,,,,,,,0.11,3.48,3.40,0.18,2.50,
April,,,,,,,3.72,1.30,1.41,0.80,3.00,
May,,,,,,,2.58,0.93,1.02,2.50,2.02,
June,,,,,,,1.80,3.85,2.68,1.42,0.50,
July,,,,,,,3.50,4.38,2.30,2.46,3.05,
August,,,,,,,2.50,4.36,1.87,2.80,2.94,
September,,,,,,,0.74,4.38,0.95,0.22,4.00,
October,,,,,,,3.50,2.45,5.51,4.83,2.46,
November,,,,,,,7.05,2.67,4.13,9.35,4.20,
December,,,,,,,0.52,3.10,3.04,8.55,3.77,
Total,,,,,,,33.45,38.41,33.91,35.01,34.10,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,33.45,38.41,33.91,35.01,34.10,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,-0.00,0.00,
