"HARESCOMBE GRANGE",,,,,,,,,,,,
Grid ref,SO844106,Long,-2.227596,Lat,51.793831,,,,,,,
Station no,2164,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.39,1.79,0.79,1.40,2.64,3.65,2.52,2.59,5.01,4.77,,
February,3.87,0.65,1.40,2.82,1.74,0.46,3.45,4.07,0.20,2.70,,
March,3.18,2.59,0.52,2.71,1.75,0.61,2.41,1.51,3.45,2.09,,
April,3.28,2.26,2.52,0.26,0.97,2.23,0.14,0.80,3.53,1.21,,
May,3.70,3.27,2.34,2.24,4.73,0.85,1.81,2.58,0.86,1.60,,
June,0.85,2.07,2.80,4.64,3.83,2.12,1.63,5.15,3.39,1.92,,
July,0.85,0.34,3.02,2.67,0.35,3.91,3.78,2.77,2.35,3.88,,
August,6.11,4.50,3.16,4.21,0.69,3.57,4.66,2.44,1.92,5.27,,
September,3.11,1.67,3.19,3.57,0.63,4.14,3.29,5.39,0.25,4.45,,
October,0.90,3.29,2.24,3.12,1.41,1.87,1.94,2.48,1.86,6.32,,
November,7.05,2.80,0.98,6.85,3.62,0.72,1.86,3.37,3.74,4.61,,
December,2.55,2.06,1.02,2.50,3.04,3.97,2.76,3.57,6.01,2.16,,
Total,38.84,27.29,23.98,36.99,25.40,28.10,30.25,36.72,32.57,40.98,,
Calc annual,38.84,27.29,23.98,36.99,25.40,28.10,30.25,36.72,32.57,40.98,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
