GARSTANG FAIRSNAPE CLOUGH,,,,,,,,,,,,,,,,,,,,
Grid ref,SD586463,Long,-2.6317138,Lat,53.911188,Elevation,930,ft,,,,,,,,,,,,
Station no,RR4335,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,7.82,7.59,7.48,,,,,,,,,
February,,,,,,,,,5.56,3.18,5.25,,,,,,,,,
March,,,,,,,,,3.1,4.23,0.93,,,,,,,,,
April,,,,,,,,,3.73,5.85,4.33,,,,,,,,,
May,,,,,,,,,4.81,4.45,2.12,,,,,,,,,
June,,,,,,,,,4.63,3.24,4.44,,,,,,,,,
July,,,,,,,,,2.18,4.41,3.71,,,,,,,,,
August,,,,,,,,,9.7,2.69,8.2,,,,,,,,,
September,,,,,,,,,2.95,9.53,4.5,,,,,,,,,
October,,,,,,,,,5.26,4.34,8.97,,,,,,,,,
November,,,,,,,,,8.29,4.33,6.2,,,,,,,,,
December,,,,,,,,,7.25,5.16,8.22,,,,,,,,,
Total,,,,,,,,,65.28,59,64.35,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge moved to summit of hill in Jan 1901,,,,,,,,,,,,,,,,,,,,
