GARSTANG FAIRSNAPE FELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD590468,Long,-2.625692,Lat,53.915713,Elevation,1630,ft,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,3.31,11.23,8.92,5.87,4.46,10.21,4.75,6.61,4.96,9.5,3,6.54,7.4,8.9,8.07,7.38,3.88,5.76,7.46,7.26,12.63,6.19,11.14,,,,,,,,
February,,2.91,3.35,,4.24,3.51,9.62,5.44,6.93,5.51,11.24,9.25,3.31,3.55,5.45,6.58,8.05,2.75,8.13,2.17,4.8,1.11,10.31,8.53,,,,,,,,
March,,5.2,4.53,,4.49,4.88,7.42,8.32,5.58,5.38,0.85,4.81,12.45,8.34,8.6,5.32,2.47,4.5,3.19,7.25,7.14,7.73,3.93,1.94,,,,,,,,
April,,3.99,4.42,,5.55,5.91,3.3,3.27,4.31,5.68,5.24,5.58,1.73,6.69,1.9,5.53,6.23,4.59,1.73,3.84,8.1,3.37,3.26,4.67,,,,,,,,
May,,1.45,5.4,,4.17,1.28,8.93,5.4,4.79,3.8,4.06,3.43,4.11,5.3,4.87,2.14,5.2,2.86,2.55,2.61,9.47,4.75,2.86,5.89,,,,,,,,
June,,3.89,1.03,3.26,2.26,3.4,3.86,13.82,5.3,4.05,4.24,5.94,11.35,4.71,3.11,1.47,3.57,4.82,3.82,3.45,4.49,1.16,5.67,3.67,,,,,,,,
July,,1.43,5.69,6.56,3.57,5.05,4.92,6.6,9.08,13.11,8.95,1.84,6.07,2.68,6.35,6.36,5.37,3.75,6.22,3.41,10.33,3.32,10.44,8.93,,,,,,,,
August,,6.06,4.43,,4.7,6.77,6.35,11.08,7.73,6.84,11.26,5.87,11.25,3.51,4.81,7.97,5.25,12.3,8.02,7.77,4.54,10.08,8.51,10.43,,,,,,,,
September,,3.65,2.02,9.1,3.23,5.42,2.83,2.25,10.63,5.6,1.53,6.33,5.3,3.6,5.84,1.87,5.75,6.48,,5.44,5.66,3.29,8.4,9.3,,,,,,,,
October,,5.55,8.64,13.27,5.81,5.74,10.68,6.93,3.93,10.02,5.5,7.67,7.7,4.31,3.31,2.62,13.48,9.45,7.58,4,1.81,5.4,2.1,10.57,,,,,,,,
November,,13.91,3.66,5.72,6.47,8.13,6.47,7.8,7.8,4.55,9.12,8,9.78,9.75,9.05,2.42,5.87,9.85,4.8,4.8,4.92,3.95,5.62,11.83,,,,,,,,
December,,10.14,3.85,4.33,5.85,2.81,8.43,7.49,6.76,14.66,8.13,10.96,7.23,8.66,7.57,11.99,5.69,4.65,13.62,10.9,5.24,13.19,7.38,9.39,,,,,,,,
Total,,61.49,58.25,,56.21,57.36,83.02,83.15,79.45,84.16,79.62,72.68,86.82,68.5,69.76,62.34,74.31,69.88,,63.1,73.76,69.98,74.67,96.29,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved here in Jan 1901  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 Sept 14.49 computed and Total estimated therefore removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
