CLAPHAM-COMMON-MACAULAY-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ290754,Long,-0.14427,Lat,51.46328,Elevation,75,ft,,,,,,,,,,,,
Station no,RR8082,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,2.27,1.15,3.77,0.64,1.38,0.59,1.36,1.21,3.29,2.84,0.43,3.76,1.09,1.2,,
February,,,,,2.36,0.73,1.69,1.09,1.25,0.25,2.57,1.42,1.62,0.89,2.32,2.91,3.41,0.81,,
March,,,,,1.42,3.66,1.08,0.99,2.41,2.9,0.91,1.72,2.28,2.36,3.89,0.76,4.08,1.9,,
April,,,,,1.26,1.83,0.69,3.42,2.34,1.73,1.55,1.62,0.07,2.59,0.88,1.3,1.11,1.91,,
May,,,,,2.26,0.79,1.39,1.75,1.4,1.55,1.86,1.59,1.19,1.52,1.24,2.9,1.88,2.98,,
June,,,,,0.79,4.5,2.47,3.61,2.18,2.86,2.49,2.37,2.84,0.3,2.08,0.46,1.48,2.41,,
July,,,,,1.61,1.74,0.92,1.25,3.47,3.8,3.41,0.84,1.16,1.42,1.2,3.87,1.02,4.46,,
August,,,,,1.86,2.27,0.73,1.88,2.87,1.54,2.24,1.58,4.46,1.13,1.4,2.3,4.35,4.43,,
September,,,,,1.17,1.49,2.1,0.64,1.23,2.26,0.56,1.32,2.11,1.77,0.75,1.94,2.21,2.3,,
October,,,,,1.74,0.98,3.18,2.87,2.48,3.94,2.34,2.71,1.51,3.33,1.21,2.2,3.15,2.85,,
November,,,,,1.62,3.4,4.25,1.96,0.54,0.9,3.08,3.18,1.69,2.11,3.03,2.29,4.22,1.27,,
December,,,,,2.13,0.63,2.48,2.21,1.99,2.36,3.1,4.2,2.43,0.8,5.94,6.12,2.44,0.85,,
Total,,,,,20.49,23.17,24.75,22.31,23.54,24.68,25.47,23.76,24.65,21.06,24.37,30.81,30.44,27.37,,
,,,,,,,,,,,,,,,,,,,,
28 Macaulay Rd,,,,,,,,,,,,,,,,,,,,
1910 Mar Gauge moved 12yds N,,,,,,,,,,,,,,,,,,,,
Observations 11am,,,,,,,,,,,,,,,,,,,,
