BLICKLING RECTORY,,,,,,,,,,,,
Grid ref,TG179284,Long,1.231573,Lat,52.809098,,,,,,,
Station no,1434/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.08,2.80,1.67,2.12,,,,,,,,
February,2.57,0.91,1.95,2.64,,,,,,,,
March,2.94,2.83,1.22,2.37,,,,,,,,
April,3.10,1.57,2.01,0.53,,,,,,,,
May,2.03,1.18,1.23,1.96,,,,,,,,
June,1.20,0.87,3.05,2.18,,,,,,,,
July,1.86,2.11,2.23,3.63,,,,,,,,
August,3.14,1.86,2.26,4.69,,,,,,,,
September,2.13,4.58,1.41,2.22,,,,,,,,
October,0.87,2.25,2.93,2.44,,,,,,,,
November,3.49,4.59,1.61,4.20,,,,,,,,
December,1.67,3.04,1.21,2.10,,,,,,,,
Total,28.08,28.59,22.78,31.08,,,,,,,,
Calc annual,28.08,28.59,22.78,31.08,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
