MARLBOROUGH COLLEGE,,,,,,,,,,,,
Grid ref,SU185686 ,Long,-1.735363,Lat,51.416118,Elevation,450,ft,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,6.46,4.24,3.65,,,,,,,
February,,,2.55,1.4,2.53,,,,,,,
March,,,2.29,2.6,0.88,,,,,,,
April,,,1.71,1.16,1.82,,,,,,,
May,,,2.13,1.75,0.65,,,,,,,
June,,,3.23,1.54,1.18,,,,,,,
July,,,2.54,2.06,1.41,,,,,,,
August,,,2.24,2.46,2.55,,,,,,,
September,,,1.08,3.05,4.33,,,,,,,
October,,,5.52,2.56,4.7,,,,,,,
November,,,4.97,3.25,3.37,,,,,,,
December,,,5.25,0.58,2.83,,,,,,,
Total,,,39.97,26.65,29.9,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
