MARLBOROUGH COLLEGE,,,,,,,,,,,,
Grid ref,SU185686,Long,-1.735363,Lat,51.416118,,,,,,,
Station no,1530,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.31,1.57,1.22,3.34,4.47,0.57,4.06,0.74,1.69,0.88,,
February,,1.57,1.16,2.11,3.88,0.79,2.39,1.52,1.12,0.73,,
March,1.41,2.28,2.40,5.09,1.63,4.97,1.48,0.93,3.43,4.34,,
April,1.63,2.63,1.79,2.66,1.39,2.42,0.91,3.09,2.86,1.76,,
May,1.63,1.56,2.81,4.40,3.01,0.35,1.64,1.97,2.75,1.42,,
June,2.59,2.16,3.38,4.72,1.07,4.33,3.04,2.52,0.58,3.00,,
July,1.37,2.73,1.25,2.74,3.42,0.70,0.98,2.53,2.80,2.73,,
August,3.03,2.30,3.70,3.64,2.45,2.95,1.22,1.82,3.70,3.71,,
September,0.85,2.51,1.02,2.41,2.00,1.48,1.09,0.74,2.05,3.48,,
October,2.66,2.10,2.15,8.30,1.16,2.02,5.54,6.84,1.44,5.75,,
November,3.31,0.97,2.98,2.46,2.04,3.57,3.17,2.70,1.37,0.49,,
December,4.98,5.66,2.15,2.63,2.53,1.12,2.40,3.92,2.28,4.71,,
Total,26.77,28.04,26.01,44.50,29.05,25.27,27.92,29.32,26.07,33.00,,
Calc annual,26.77,28.04,26.01,44.50,29.05,25.27,27.92,29.32,26.07,33.00,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
