"BUSHMILLS DUNDARAVE",,,,,,,,,,,,
Grid ref,IC9479541457,Long,-6.511421,Lat,55.211295,,,,,,,
Station no,RR1051,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.47,2.49,3.20,5.79,4.12,2.74,3.96,2.97,2.70,4.01,,
February,2.83,1.66,1.42,3.11,2.52,2.92,2.62,2.64,2.76,2.39,,
March,0.83,2.46,2.65,4.26,1.62,2.99,2.46,4.54,4.06,2.61,,
April,3.15,2.58,1.82,1.82,2.77,2.15,3.13,2.06,1.97,2.91,,
May,2.33,2.13,3.01,2.60,2.41,1.79,2.97,3.97,2.45,2.14,,
June,3.37,3.72,1.05,0.72,1.01,1.47,1.28,4.97,4.07,1.75,,
July,2.81,1.60,3.38,4.54,2.61,2.51,1.75,3.24,3.01,4.68,,
August,4.04,5.07,2.48,5.28,5.52,4.90,3.98,5.28,3.82,3.00,,
September,3.52,3.31,4.71,2.14,2.85,2.76,1.74,1.55,4.00,2.64,,
October,5.15,4.07,1.93,7.13,2.56,3.44,3.70,4.26,1.12,3.33,,
November,5.63,5.13,3.45,4.25,5.08,4.37,3.90,3.67,3.32,1.78,,
December,4.16,3.90,3.47,2.42,3.27,2.77,4.95,3.91,3.82,3.05,,
Total,42.29,38.12,32.57,44.06,36.34,34.81,36.44,43.06,37.10,34.29,,
Calc annual,42.29,38.12,32.57,44.06,36.34,34.81,36.44,43.06,37.10,34.29,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
