BUSHMILLS DUNDARANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IC9479541457,Long,-6.511421,Lat,55.211295,Elevation,162,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,,2.45,0.68,2.38,4.18,5.34,2.09,4.92,2.18,2.23,2.78,4.36,2.24,3.22,2.02,4.57,2.68,2.24,1.86,1.43,3.51,4.47,2.49,3.2,5.79,4.12,2.74,3.96,2.97,2.7,4.01,4.65,1.55,3.76,2.45,1.89,2.62,,,,
February,,,,,,,,,,,2.08,4.31,2.69,3.32,3.3,4.25,2.71,1.67,1.52,3.24,1.05,0.29,2.15,3.19,5.2,1.37,2.59,2.37,4.32,1.75,2.83,1.66,1.42,3.11,2.52,2.92,2.62,2.64,2.76,2.39,4.52,3.98,1.97,1.32,5.13,3.07,,,,
March,,,,,,,,,,,1.64,4.38,3.36,1.44,2.97,2.48,2.37,1.91,2.99,2.28,2.88,3.5,0.98,1.75,2.15,3.59,3.54,4.19,1.52,2.25,0.83,2.46,2.65,4.26,1.62,2.99,2.46,4.54,4.06,2.61,2.48,1.31,4.03,3.09,4.07,1.46,,,,
April,,,,,,,,,,,2.75,1.47,2.9,1.27,1.41,1.77,1.86,2.19,1.98,3.06,1.18,0.82,1.84,1.47,1.6,1.28,2.07,2.38,3.19,4.52,3.15,2.58,1.82,1.82,2.77,2.15,3.13,2.06,1.97,2.91,2.77,1.69,2.17,3.46,1.72,2.66,,,,
May,,,,,,,,,,,0.89,2.41,2.16,3.37,2.55,2.14,3.04,2.78,2.45,2.48,1.79,2.79,4.02,1.38,2.05,0.93,1.07,2.21,2.49,3.04,2.33,2.13,3.01,2.6,2.41,1.79,2.97,3.97,2.45,2.14,2.43,1.91,1.18,2.75,1.84,0.72,,,,
June,,,,,,,,,,,3,3.76,3.92,2.09,1.06,1.11,2.23,1.12,2.61,0.78,3.49,0.83,3.58,1.57,2.1,2.29,2.99,5.68,2.54,2.25,3.37,3.72,1.05,0.72,1.01,1.47,1.28,4.97,4.07,1.75,2.83,2.41,4.82,2.02,1.35,,,,,
July,,,,,,,,,,,4.56,3.32,7.04,2.24,3.17,1.82,2.21,2.26,6.08,3.77,4.12,3.58,2.92,4.04,3.75,3.09,5.64,2.33,0.75,2.84,2.81,1.6,3.38,4.54,2.61,2.51,1.75,3.24,3.01,4.68,3.26,3.23,2.71,1.52,1.43,,,,,
August,,,,,,,,,,3.22,2.63,3.79,3.1,5.76,4.19,1.76,2.02,2.43,5.17,6.15,4.69,5.75,3.78,4.55,2.9,3.91,3.07,4.73,5.27,2.26,4.04,5.07,2.48,5.28,5.52,4.9,3.98,5.28,3.82,3,6.42,1.68,5.57,2.57,4.08,,,,,
September,,,,,,,,,,4.71,3.94,2.35,4.47,6.1,4.87,5.75,3.16,4.28,1.56,3.72,3.56,2.56,3.49,4.53,0.41,0.88,4.99,2.86,5.06,6.55,3.52,3.31,4.71,2.14,2.85,2.76,1.74,1.55,4,2.64,0.89,1.5,1.68,2.07,2.27,,,,,
October,,,,,,,,,,2.1,2.25,4.2,2.81,3.4,4.37,3.87,3.34,2.62,2.03,3.78,3.47,3.89,4.33,5.19,2.7,6.9,4.47,2.34,2.1,1.98,5.15,4.07,1.93,7.13,2.56,3.44,3.7,4.26,1.12,3.33,1.92,2.72,4.32,2.2,1.81,,,,,
November,,,,,,,,,,1.8,3.87,3.43,7.29,5.23,4.58,2.15,3.55,3.24,5.44,2.57,7.89,3.88,3.36,2.58,2.25,2.61,1.3,2.35,3.34,2.47,5.63,5.13,3.45,4.25,5.08,4.37,3.9,3.67,3.32,1.78,5.53,4.03,4.75,4.5,4.85,,,,,
December,,,,,,,,,,1.75,4.14,4.31,5.03,3.35,4.73,2.73,4.82,3.63,3.18,4.29,1.74,3.49,3.07,3.55,4.68,5.13,4.22,4.64,2.63,7.35,4.16,3.9,3.47,2.42,3.27,2.77,4.95,3.91,3.82,3.05,3.43,5.09,4.5,3.81,4.93,,,,,
Total,,,,,,,,,,,34.2,38.41,47.15,41.75,42.54,31.92,36.23,30.31,37.24,38.9,40.22,33.62,36.74,35.82,34.36,34.66,38.19,37.94,34.64,40.77,42.29,38.12,32.57,44.06,36.34,34.81,36.44,43.06,37.1,34.29,41.13,31.1,41.46,31.76,35.37,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915 July-Dec estimated from surounding stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
