"PENTLAND HILLS (HARLOW RES)",,,,,,,,,,,,
Grid ref,NT181653,Long,-3.310494,Lat,55.873875,,,,,,,
Station no,5130,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.86,2.46,0.34,2.74,1.86,1.27,2.98,2.11,0.96,2.60,,
February,2.44,0.40,0.67,1.79,1.48,1.71,2.96,1.96,0.43,1.86,,
March,3.45,1.01,0.39,1.86,1.76,1.21,1.79,1.49,0.68,1.02,,
April,2.55,1.63,2.65,0.83,0.38,0.60,0.77,2.05,1.97,0.93,,
May,3.22,1.59,2.17,4.42,2.48,0.83,1.90,2.15,0.84,0.89,,
June,1.91,2.24,1.52,1.86,0.63,2.60,1.83,2.87,1.63,1.24,,
July,3.26,2.40,3.94,1.81,1.91,4.98,4.51,5.76,2.81,2.71,,
August,6.29,3.30,1.97,5.47,1.20,6.26,4.08,4.02,0.36,4.28,,
September,1.09,2.29,2.45,3.06,1.37,3.39,1.52,3.89,0.53,1.69,,
October,0.63,1.81,1.22,6.01,1.57,1.55,2.10,1.54,2.30,3.25,,
November,5.15,2.54,3.60,3.95,1.06,0.79,1.61,0.93,5.23,2.72,,
December,2.44,2.70,2.77,3.61,4.37,2.81,2.72,4.67,2.91,2.50,,
Total,35.29,24.37,23.69,37.41,20.07,28.00,28.77,33.44,20.65,25.69,,
Calc annual,35.29,24.37,23.69,37.41,20.07,28.00,28.77,33.44,20.65,25.69,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
