PENTLAND HILLS HARLAW RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT179651,Long,-3.313629,Lat,55.872045,Elevation,800,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,
January,2.8,2.5,5.7,4.5,2.7,4.2,1.6,7.9,3.6,1.1,1.1,1.1,2.5,4,5.6,2.3,4.5,1.6,1.8,1,4.8,1.3,1.49,1.45,3.85,2.36,1.23,1.37,1.24,4.68,4.7,2.68,1.41,5.13,3.4,1.01,3.71,1.55,3.87,3.57,3.93,1.6,1.77,2.7,2.38,1.95,3.48,2.09,2.19,3.26,3.49,4.95,2.22,1.89,2.12,3.14,3.54,2.69,6.23,0.9,3.45,1.7,3.76,3.28,2.48,1.1,4,2.96,3.75,4.24,1.05,1.56,3.12,2.45,2.4,3.28,1.88,2.82,5.99,2.11,1.4,2.86,2.46,0.34,2.74,1.86,1.27,2.98,2.11,0.96,2.6,,,,,,,,,,,,,,,,,,,
February,3.9,3.4,3.1,1.2,1.2,1.7,3.8,3.2,1.3,2,2.7,3.4,2.4,1.9,2.6,3.1,1.6,1.6,2.3,2.1,0.9,0.26,3.27,3.46,8.92,1.15,1.15,2.07,1.92,1.75,4.2,1.21,1.13,4.67,2.84,1.95,1.74,1.49,1.44,1.81,3.85,2.49,2.17,1.46,2.75,2.51,4.39,0.91,3.4,1.8,2.9,1.05,1.96,3.35,0.59,4.76,2.94,1.35,2.82,0.97,0.36,1.75,0.23,1.55,0.14,2.21,3.3,3.84,0.75,2.3,0.92,4.06,1.12,1.58,0.96,3.3,1.41,1.71,2.22,1.74,3.18,2.44,0.4,0.67,1.79,1.48,1.71,2.96,1.96,0.43,1.86,,,,,,,,,,,,,,,,,,,
March,1.3,1.9,3.5,2.7,1.8,1.7,4.7,1.7,1,3.2,2,2.1,4.2,1.6,2.4,2.4,4.6,2.3,5,1.6,2.5,4.95,1.64,1.27,2.75,4.26,2.56,4.22,1.82,2.73,1.77,2.67,1.25,6.33,1.34,4.18,2.97,2.53,4.12,7.84,1.5,1.64,2.88,4.96,4.04,1.57,4.5,1.51,0.9,2.08,2.94,2.73,1.75,1.04,0.53,2.15,1.86,3.24,1.86,0.29,2.11,0.97,2.64,1.01,3.21,1.24,2.14,2.03,0.71,3,2.41,2.72,1.25,1.74,0.44,1.05,1.66,4.94,1.24,0.95,2.49,3.45,1.01,0.39,1.86,1.76,1.21,1.79,1.49,0.68,1.02,,,,,,,,,,,,,,,,,,,
April,0.8,4.9,2.6,0.3,2.3,0.9,3.5,3.3,1.3,2.6,4.7,0.8,3.5,1.4,1.2,2.6,2.1,1.3,2,3.4,1,0.8,1.35,1.31,1.97,1.98,1.45,2.14,2.88,3.62,2.24,2.11,1.79,1.27,2.75,1.98,1.28,1.48,2.38,2.89,3.91,2,0.42,2.52,1.8,1.58,4,2.12,0.82,3.62,3,0.73,1.67,2.29,1.44,3.41,1.88,1.88,0.98,1.55,1.15,2.45,3.36,2.36,4.57,3.36,1.79,1.35,0.17,1.52,2.29,1.28,1.65,0.9,2.15,1.3,0.45,2.79,2.02,1.26,2.74,2.55,1.63,2.65,0.83,0.38,0.6,0.77,2.05,1.97,0.93,,,,,,,,,,,,,,,,,,,
May,1.9,0.8,4.5,3.1,1.6,1.5,1.5,2.8,3.5,1.9,1.9,3.8,3.1,1.6,3.3,3.3,5,1.9,1.2,2.6,2,2.05,2.64,1.98,4.3,1.06,0.7,1.69,1.84,3.92,2,3.07,3.6,2.27,3.96,0.97,5.52,3.24,2,2.26,1.9,1.44,1.31,2,2.44,1.43,3.91,1.65,2.66,0.82,3.37,1.67,1.07,2.07,4.56,5.36,3.44,1.52,1.54,1.77,1.43,2.87,4.05,1.88,1.45,0.81,0.71,2.88,2.99,0.82,2.03,3.56,1.93,3.02,2.56,4.44,1.68,2.79,2.03,2.32,2.1,3.22,1.59,2.17,4.42,2.48,0.83,1.9,2.15,0.84,0.89,,,,,,,,,,,,,,,,,,,
June,3.6,1.8,3.8,0.9,1.1,2.2,3.1,3,1.8,5.75,1.9,2.3,4.4,2.3,1,0.6,,0.5,2.9,1.4,3.9,1.04,3.68,3.89,3.15,2.35,3.75,3.85,2.14,1.62,4.14,2.24,2.04,1.54,2.88,0.93,2.24,2.74,1.21,3.16,1.45,3.14,4.83,2.26,1.26,1.81,3.45,2.18,1.05,2.16,1.44,0.4,1.79,1.15,2,0.53,4.23,3.36,5.33,2.3,2.41,4.78,1.11,1.92,2.77,2.12,1.78,1.1,3.64,1.79,0.52,0.52,0.98,1.74,2.7,1.58,1.74,2.2,4.6,1.12,1.53,1.91,2.24,1.52,1.86,0.63,2.6,1.83,2.87,1.63,1.24,,,,,,,,,,,,,,,,,,,
July,1.9,3.3,3.7,3.5,2.6,3.6,1.8,5.8,0.5,10,3.7,3.1,4.1,4.7,6.9,1.1,3.1,3.1,5.6,4.8,3.1,2.81,1.54,2.82,3.13,3.93,4.79,2,1.34,4.28,3.61,1.27,2.87,4.22,1.98,2.02,1.88,2.76,3.75,3.79,4.15,1.27,2.29,0.52,3.87,3.78,5.28,1.78,3.86,0.9,3.49,2.28,4.68,4.13,3.67,1.5,2.65,2.14,2.1,2.98,3.23,3.9,2.38,4.26,2.06,0.76,4.81,5.39,3.03,2.38,7.35,2.69,2.74,2.63,2.34,2.28,3.94,2.72,2.16,1.41,3.67,3.26,2.4,3.94,1.81,1.91,4.98,4.51,5.76,2.81,2.71,,,,,,,,,,,,,,,,,,,
August,1.1,2.8,3.2,4.3,6.7,2,4,7.3,5.8,3.7,0.8,7,1.9,2.9,1.3,2.6,1.2,2.3,2.1,6.5,4.7,7.5,4.78,3.64,5.19,5.51,1.51,3.33,3.42,0.72,4.55,4.08,1.58,3.58,4.89,3.92,6.59,4.05,2.55,2.58,5.37,1.31,5.02,1.13,1.75,4,4.66,5.17,1.97,1.86,7.77,4.75,1.45,4.27,3.68,3.16,2.05,6.94,5.52,5.17,5.84,4.77,0.53,1.18,3.38,2.72,1.55,4.18,1.87,1.35,0.8,3.34,2.23,3.88,2.55,3.22,3.92,0.27,8.87,2.83,3.06,6.29,3.3,1.97,5.47,1.2,6.26,4.08,4.02,0.36,4.28,,,,,,,,,,,,,,,,,,,
September,2.7,3.3,6.9,4.1,3.1,3.8,4.2,1.9,4,1.9,3.8,3.8,3,3.1,3.6,3.6,3.3,5.1,0.9,1.2,1.5,6.25,2.49,1.97,0.67,0.94,5.38,2.38,2.98,3.8,2.78,1.47,1.98,3.24,2.14,2.62,0.74,1.37,2.93,2.66,0.81,1.66,3.33,2.43,0.6,3.02,1.56,1.53,4.31,2.98,1.7,2.16,1.81,1.61,3.52,4.87,3.64,9.91,2.49,0.37,4.73,1.61,3.37,2.21,2.27,3.13,2.72,1.68,2.08,2.11,2.31,0.77,3.01,1.73,4.44,3.68,3.27,1.23,2.46,2.06,5.45,1.09,2.29,2.45,3.06,1.37,3.39,1.52,3.89,0.53,1.69,,,,,,,,,,,,,,,,,,,
October,3.1,2.8,4.4,5.3,4,3.4,3,3.3,3.3,1.8,4.3,2.8,3.2,2.8,1.7,2.9,5.7,2.2,1.6,4.8,2.3,3.34,5.29,3.72,3.13,4.33,5.36,1.55,5,2.43,4.12,2.12,1.83,7.58,0.93,2.63,7.35,10.83,1.24,5.09,2.99,3.91,3.87,2.11,1.69,2.61,5.38,4.1,3.33,2.43,1.14,3.58,1.68,2.79,3.5,2.49,3.72,4.3,4.19,3.96,3.7,1.96,6.43,2.5,4.09,6.3,1.9,4.19,5.5,1.92,2.69,2.94,3.16,3.85,2.87,3.45,0.72,1.21,1.17,4.63,2.38,0.63,1.81,1.22,6.01,1.57,1.55,2.1,1.54,2.3,3.25,,,,,,,,,,,,,,,,,,,
