PENTLAND HILLS HARLAW RES,,,,,,,,,,,,,,,,,,,,
Grid ref,NT179651,Long,-3.313629,Lat,55.872045,Elevation,770,ft,,,,,,,,,,,,
Station no,5130,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,4.5,2.56,2.68,2.3,2.6,4.1,6.3,1.5,4.3,6,2.1,4.1,4.5,4.6,5.6,3.4
February,,,,,1.2,1.34,3.1,0.9,1.5,2.7,2.3,2.9,1.7,2.3,2.9,1.5,5,2.7,3.9,4.3
March,,,,,2,1.61,0.11,2.07,1.3,4.5,3,4.1,3.8,1.2,4.7,1.4,2.5,2,3.5,1.3
April,,,,,0.6,0.86,3.2,2.9,1.6,4.1,0.8,2.5,2.3,2.7,1.4,0.4,2.7,3.7,4.5,1.5
May,,,,,3.1,2.24,4.12,2,2.8,0.2,1.4,1,3.4,2.3,2.1,5,2,3.2,1.9,2.9
June,,,,,6,2.9,4.2,5.1,1.5,2.1,4.5,3.1,3.6,4.2,1.8,0.6,1.3,2.2,0.8,2.3
July,,,,,1.7,4.12,2.38,2.4,5,3.5,2,4.5,4.3,0.6,2.2,4.1,4.4,5.8,0.3,1.2
August,,,,,1.7,4.25,4.41,2.4,2.4,1.3,4,4.5,4.9,4.3,0.9,3.7,3.8,2.4,5,1.5
September,,,,,1.1,0.62,8.2,5.8,3,2.6,1.1,5.5,1.6,4.2,3.6,0.8,3.2,2.5,4.3,5.4
October,,,,,2.6,4.12,1.3,2.6,6.6,4.7,4.5,2.2,6.1,3.1,10.2,7,1.4,2.9,3.4,2
November,,,,,5.3,1.75,0.9,3.2,2.02,3.1,3.7,6.6,1.7,2.4,3.5,3.4,3.6,0.6,2.7,2.4
December,,,,,3,1.83,4.4,2.9,2.1,3.8,4.5,1.9,4.1,3.3,3,2.9,4.7,2.1,5.3,3.1
Total,,,,,32.8,28.2,39,34.57,32.42,36.7,38.1,40.3,41.8,36.6,38.4,34.9,39.1,34.7,41.2,31.3
