"MARLOW MILLS, THAMES BANK",,,,,,,,,,,,
Grid ref,SU855861,Long,-0.767829,Lat,51.567302,,,,,,,
Station no,RR2364,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.71,0.93,0.94,2.65,2.65,0.90,4.43,0.71,2.05,0.89,,
February,4.21,1.17,1.07,1.02,2.91,0.68,2.20,1.53,1.42,0.44,,
March,0.80,1.67,1.69,3.33,1.11,3.70,1.72,1.20,3.09,2.96,,
April,0.98,2.23,0.88,2.07,1.60,1.73,0.62,2.62,3.97,2.22,,
May,1.47,0.69,2.38,4.17,2.73,2.23,2.10,2.24,2.08,1.77,,
June,2.15,0.82,3.29,6.09,0.88,3.13,3.35,2.02,1.05,4.67,,
July,0.83,4.48,1.03,4.16,3.57,1.19,0.19,2.97,3.77,2.95,,
August,2.90,1.98,3.01,4.05,1.50,2.31,1.10,1.68,3.45,3.78,,
September,0.74,1.60,1.37,2.73,1.66,1.66,1.01,0.63,1.97,2.78,,
October,2.20,2.24,1.72,7.81,2.14,1.47,5.00,4.98,1.96,5.03,,
November,2.38,0.58,2.21,2.57,2.01,2.89,3.20,2.35,1.08,0.60,,
December,3.19,3.41,1.47,2.50,2.74,1.53,3.05,3.61,2.62,2.40,,
Total,25.56,21.80,21.06,43.15,25.50,23.42,27.97,26.54,28.51,30.49,,
Calc annual,25.56,21.80,21.06,43.15,25.50,23.42,27.97,26.54,28.51,30.49,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,,
