MARLOW-THAMES-BANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU855861,Long,-0.767829,Lat,51.567302,Elevation,105,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,2.64,2.61,0.96,2.12,0.84,2.85,3.71,0.93,0.94,2.65,2.65,0.9,4.43,0.71,2.05,0.89,2.2,1.24,3.63,3.49,0.59,3.79,1.82,2.15,3.18,4.69,3.06,2.79,3.41,1.68,2.88,2.27,3.37,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,1.74,0,0.53,3.13,1.65,2.16,4.21,1.17,1.07,1.02,2.91,0.68,2.2,1.53,1.42,0.44,3.55,1.92,2.17,0.96,3.07,3.96,4.17,1.52,1.91,2.86,0.46,0.23,2.78,4.22,0.53,3.5,2.5,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,1.55,1.77,3.87,3.57,0.93,0.75,0.8,1.67,1.69,3.33,1.11,3.7,1.72,1.2,3.09,2.96,0.94,1.81,4.16,2.43,5.02,1.36,4.82,2.16,1.41,5.58,2.11,0.95,2.3,2.84,1.19,0.89,0.32,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,1.35,1.1,0.6,1.9,1.68,2.51,0.98,2.23,0.88,2.07,1.6,1.73,0.62,2.62,3.97,2.22,1.64,1.67,0.05,3.27,1.07,1.27,1.36,2.8,4.97,2.88,3.74,1.02,3.19,2.63,3.22,1.93,3.16,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,1.9,0.4,0.18,1.09,1.9,1.62,1.47,0.69,2.38,4.17,2.73,2.23,2.1,2.24,2.08,1.77,1.86,3.06,1.63,2.19,1.49,2.99,2.6,2.86,2.84,0.49,1.3,1.06,1.03,1.74,3.8,3.05,3.13,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,2.58,0.5,1.88,3.9,1.37,0.89,2.15,0.82,3.29,6.09,0.88,3.13,3.35,2.02,1.05,4.67,4.4,3.24,3.69,0.84,1.83,1.05,2.66,3.76,1.31,1.22,2.92,0.28,1.51,0.33,3.25,0.01,3.04,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,3.1,5.01,1,0.41,0.9,2,0.83,4.48,1.03,4.16,3.57,1.19,0.19,2.97,3.77,2.95,1.81,0.36,2.35,1.02,2.8,5.22,1.74,5.15,5.5,2.41,6.43,0.19,4.32,2.13,5.02,4.41,2.12,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,2.76,2.82,2.03,2.76,1.68,0.78,2.9,1.98,3.01,4.05,1.5,2.31,1.1,1.68,3.45,3.78,2.7,0.89,6.14,0.94,1.96,2.89,5.97,5.79,1.85,2.7,1.52,1.57,2.85,1.82,2.92,4.05,1.16,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,1.8,0.96,7.11,3.17,0.75,2.07,0.74,1.6,1.37,2.73,1.66,1.66,1.01,0.63,1.97,2.78,0.5,1.74,2.5,1.82,1.17,2.5,1.51,2.16,6.93,2.98,1.66,2.74,2.2,2.14,3.6,3.24,1.88,5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,4.46,3.4,2.9,1.03,2.76,2.25,2.2,2.24,1.72,7.81,2.14,1.47,5,4.98,1.96,5.03,3.4,2.98,2.78,4.93,2.22,3.26,5.17,5.55,2.58,1.28,2.62,1.54,0.75,4.49,3.8,3.49,2.53,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,5.22,4.41,1.28,0.78,2.49,3.53,2.38,0.58,2.21,2.57,2.01,2.89,3.2,2.35,1.08,0.6,3.38,3.22,2.52,2.77,3.25,2.25,4.59,1.14,3.61,1.98,1.33,1.72,1.47,1.41,2.53,2.15,5.48,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,2.37,2.54,4.94,2.95,2.41,1.27,3.19,3.41,1.47,2.5,2.74,1.53,3.05,3.61,2.62,2.4,4.4,6.17,3.42,1,7.69,6.15,3.41,1.02,4.05,5.91,2.41,1.46,2.43,2.76,3.91,2.46,0.56,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,31.47,25.52,27.28,26.81,19.36,22.68,25.56,21.8,21.06,43.15,25.5,23.42,27.97,26.54,28.51,30.49,30.78,28.3,35.04,25.66,32.16,36.69,39.82,36.06,40.14,34.98,29.56,15.55,28.24,28.19,36.65,31.45,29.25,36.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
