"CARSPHAIRN MOOR",,,,,,,,,,,,
Grid ref,NX569935,Long,-4.250754,Lat,55.214940,,,,,,,
Station no,5020/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.67,4.32,3.21,7.23,4.42,3.70,8.63,8.03,3.43,5.15,,
February,2.59,2.28,2.24,4.18,2.38,1.14,5.80,6.37,3.09,9.44,,
March,3.24,3.53,1.04,3.83,2.02,4.45,5.83,1.65,6.41,2.43,,
April,2.12,3.61,4.15,2.19,1.41,2.12,2.64,2.60,5.82,7.31,,
May,3.37,3.22,3.48,7.10,2.05,2.84,4.16,4.17,2.57,2.42,,
June,1.48,3.54,1.54,5.46,1.52,4.81,2.25,4.03,3.78,4.04,,
July,3.63,5.94,6.34,6.90,0.99,6.99,6.86,5.13,6.16,5.63,,
August,7.14,4.85,5.11,6.14,0.78,10.47,7.05,5.89,2.02,4.59,,
September,5.09,4.45,10.01,10.01,2.80,5.86,4.49,7.78,2.37,4.43,,
October,1.46,7.51,6.39,11.72,4.62,5.10,7.91,6.52,8.53,5.36,,
November,12.29,3.92,9.36,12.58,2.40,4.53,3.89,2.58,8.91,12.85,,
December,11.08,6.00,6.05,10.53,5.10,8.20,7.56,7.47,11.74,7.40,,
Total,58.16,53.17,58.92,87.87,30.49,60.21,67.07,62.22,64.83,71.05,,
Calc annual,58.16,53.17,58.92,87.87,30.49,60.21,67.07,62.22,64.83,71.05,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,,
