STRICHEN,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 945 553,Long,-2.092832,Lat,57.588156,Elevation,166,ft,,,,,,,,,,,,
Station no,RR494,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789
January,,,,3.2,3.9,,1.6,1.1,3,1.6,0.1,1,,,,,,,,
February,,,,1.5,1.1,,2,0.6,2.5,0.1,0.4,0.7,,,,,,,,
March,,,,0.8,1.5,1,1.2,2.6,1.6,1.1,0.5,0,,,,,,,,
April,,,,2.3,2.4,0.6,2.2,1.7,3.1,0.5,2.2,2.2,,,,,,,,
May,,,,1.9,3.6,1.4,1.3,1.9,3.9,1.2,2.8,1.1,,,,,,,,
June,,,,2.8,3.8,,2.6,1.8,2.3,0.6,1.1,1.1,,,,,,,,
July,,,,0.7,1.8,,3.1,4.3,2.6,4.1,1,1.7,,,,,,,,
August,,,,-999,3,,3,2.9,2,1.2,0.4,6,,,,,,,,
September,,,,-999,6.3,,1.8,1,4,3,2.5,2.8,,,,,,,,
October,,,,2,2.5,7.4,1.8,3.8,4,2.8,3,3.5,,,,,,,,
November,,,,5.3,4.5,4,4.6,1.6,6,6,3.6,4,,,,,,,,
December,,,,3.3,1.5,3.5,2,2.5,3.6,5.1,0.6,3.5,,,,,,,,
Total,,,,31,35.9,,27.2,25.8,38.6,27.3,18.2,27.6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Snow in Jan & Feb 1776 not measued,,,,,,,,,,,,,,,,,,,,
