STRATTON-WEEK-ST-MARY-(RECTORY),,,,,,,,,,,,,,,,,,,,
Grid ref,SX237974,Long,-4.50015,Lat,50.74937,Elevation,510,ft,,,,,,,,,,,,
Station no,RR7787,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,5.53,2.52,4.94,1.02,1.87,2.61,3.65,4.68,,,,,
February,,,,,,,,2.85,2.34,5.6,4.76,3.47,3.07,7.14,4.43,,,,,
March,,,,,,,,2.9,2.83,0.7,1.79,3.69,1.3,1.14,3.75,,,,,
April,,,,,,,,3.52,2.17,2.24,2.41,0.68,4.8,1.63,2.32,,,,,
May,,,,,,,,3.18,5.38,2.48,1.73,2.11,2.84,1.72,1.32,,,,,
June,,,,,,,,1.6,5.3,5.85,1.77,4.32,3.59,3.22,1.43,,,,,
July,,,,,,,,5.53,2.48,4.44,5.27,3.25,4.83,3.98,2.86,,,,,
August,,,,,,,,5.29,5.22,5.83,0.91,4.64,4.77,1.64,2.46,,,,,
September,,,,,,,,2.93,4.13,4.13,4.79,1.79,4.82,5.42,2.59,,,,,
October,,,,,,,,3.2,6.87,2.72,6.34,2.63,5.84,4.39,2.94,,,,,
November,,,,,,,,8.58,4.97,0.5,3.73,5.01,5.25,7.09,2.86,,,,,
December,,,,,,,,3.98,3.82,1.58,6.66,6.11,6.71,1.91,4.89,,,,,
Total,,,,,,,,49.09,48.03,41.01,41.18,39.57,50.43,42.93,36.53,,,,,
,,,,,,,,,,,,,,,,,,,,
Rectory,,,,,,,,,,,,,,,,,,,,
