"GRIMSBY WALTHAM",,,,,,,,,,,,
Grid ref,TA260039,Long,-0.101157,Lat,53.516681,,,,,,,
Station no,RR4177,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.80,0.73,0.97,,,,,,,,,
February,3.27,2.27,1.21,,,,,,,,,
March,0.53,2.07,1.36,,,,,,,,,
April,1.12,1.29,1.53,,,,,,,,,
May,1.77,0.63,3.23,,,,,,,,,
June,1.98,1.77,2.40,,,,,,,,,
July,2.23,1.55,1.97,,,,,,,,,
August,3.34,1.81,2.26,,,,,,,,,
September,0.96,1.23,0.56,,,,,,,,,
October,2.37,1.96,2.14,,,,,,,,,
November,2.10,2.81,1.37,,,,,,,,,
December,3.22,4.49,1.90,,,,,,,,,
Total,25.69,22.61,20.90,,,,,,,,,
Calc annual,25.69,22.61,20.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
