GRIMSBY - WALTHAM,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA261039,Long,-0.100,Lat,53.517,Elevation,50,ft,,,,,,,,,,,,,
Station no,RR4177,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914
January,2.11,4.10,1.03,2.36,0.79,2.21,2.80,0.73,0.97,,,,,,,,,1.77,3.03,3.68,1.86
February,2.54,0.72,0.64,2.80,1.48,1.10,3.27,2.27,1.21,,,,,,,,,1.27,1.23,0.77,0.97
March,0.65,1.71,2.37,2.63,1.69,1.16,0.53,2.07,1.36,,,,,,,,,2.43,2.61,3.09,1.78
April,2.01,1.03,0.88,1.27,2.67,2.10,1.12,1.29,1.53,,,,,,,,,1.01,0.48,2.02,1.03
May,1.79,1.45,0.69,1.13,2.21,2.68,1.77,0.63,3.23,,,,,,,,,1.59,2.31,1.50,2.04
June,4.42,3.05,1.18,1.41,1.80,1.56,1.98,1.77,2.40,,,,,,,,,4.70,4.59,0.67,1.35
July,2.98,2.83,0.54,-999.00,0.60,0.85,2.23,1.55,1.97,,,,,,,,,0.55,3.21,1.07,2.94
August,2.11,2.28,2.24,-999.00,2.94,0.45,3.34,1.81,2.26,,,,,,,,,1.24,4.24,1.40,0.82
September,1.23,0.39,4.60,3.11,0.19,2.66,0.96,1.23,0.56,,,,,,,,,2.26,2.17,1.58,0.99
October,4.50,2.48,6.32,0.92,3.17,2.75,2.37,1.96,2.14,,,,,,,,,2.23,2.91,3.81,1.86
November,2.53,2.69,1.44,2.25,2.16,1.02,2.10,2.81,1.37,,,,,,,,,3.04,3.43,2.18,2.50
December,1.57,1.86,3.73,1.59,2.08,2.72,3.22,4.49,1.90,,,,,,,,,3.40,2.47,0.74,5.87
Total,28.44,24.59,25.66,23.58,21.78,21.26,25.69,22.61,20.90,,,,,,,,,25.49,32.68,22.51,24.01
,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/201,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/142,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/102,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
# July and August 1897 are grouped into a single aggregate reading of 4.11 on the sheet.,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,
# The 1894-1902 readings seem likely to be at the Rectory.,,,,,,,,,,,,,,,,,,,,,
# The 1911-1914 readings are at nearby Waltham Old Hall.,,,,,,,,,,,,,,,,,,,,,
