DUBLIN FITZWILLIAM SQUARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IO1639933078,Long,-6.253174,Lat,53.335363,Elevation,54,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2.35,2.62,2.86,2.65,2.02,2.14,0.4,4.32,1.56,1.71,0.56,1.37,1.48,2.68,2.36,1.62,3.25,1.82,1.25,2.21,2.98,0.67,1.7,2.24,2.84,5.71,0.72,2.69,1.79,2.48,2.58,2.67,1.62,3.27,2.54,1.9,4.13,0.43,2.06,1.26,2.99,0.64,3.51,5.58,1,2.09,1.4,1.29,1.6,2.64,4.29,2.42,2.28,1.71,3.46,2.39,4.3,2.12,2.23,1.05,3.58,1.3,2.15,1.34,1.54,1.18,2.78,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,1.44,1.65,2.56,0.92,2.68,2.48,3.01,1.56,1.58,3.7,2.58,2.88,1.86,3.75,3.52,2.81,1.98,0.54,1.1,2.45,0.8,0.04,2.12,2.67,1.9,0.63,0.87,1.4,1.74,2.17,3.16,1.2,1.75,2.23,3.31,0.75,1.64,1.3,1.37,0.59,3.76,0.99,2.56,0.6,2.48,3.28,3.56,1.7,1.9,1.4,1.85,0.7,1.34,5.78,0.81,3.96,1.74,2.49,2.46,1.91,0.96,1.11,0.19,3.4,0.03,3.14,1.69,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1.79,0.81,2.42,2.39,0.95,1.04,2.16,2.74,1.16,1.83,3.13,1.88,2.26,1.06,1.86,1.53,2.07,1.49,3.75,1.08,3.69,0.94,0.99,0.29,1.29,2.75,3.31,2.98,1.04,0.91,0.96,1.78,1.75,3.62,2.09,2.73,1.52,1.93,2.94,2.69,0.92,1.66,2.73,2.16,2.11,1.1,3.4,3,1.03,2.19,2.05,1.99,1.05,1.14,0.49,0.64,0.87,3.08,3.99,0.22,3.19,1.35,1.23,1.71,2.47,0.51,1.74,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,0.84,3.16,2.66,0.5,1.32,1.01,2.6,4.71,2.35,2,1.83,1.33,3.53,2.21,1.53,2.91,1.53,1.77,1.99,2.61,1.57,1.55,1.11,1.05,3.12,1.15,0.88,2.48,2.67,2,1.3,0.87,2.06,1.05,1.12,2.47,1.83,2.62,2.34,4.08,2.2,1.41,1.32,2.76,0.72,1.42,1.65,0.89,1.87,0.9,2.83,0.8,2.28,3.13,1.7,2.46,1.7,1.23,1.25,1.44,1.06,2.72,2.43,1.02,2.42,1.52,1.98,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1.16,0.38,2.16,0.91,1.75,1.07,0.8,2.34,4.54,2.05,0.85,1.53,1.53,2.02,1.36,2.53,5.47,0.88,0.98,2.13,2.44,2.79,4.18,1.66,3.56,0.18,0.19,1.14,3.33,2.1,1.92,1.2,2.8,2.39,2.68,1.18,2.47,3.21,1.37,1.47,2.55,1.29,1.04,2.8,1.83,1.6,4.64,2.98,2.27,1.65,2.63,1.53,0.61,1.78,2.55,5.15,2.28,0.77,0.99,1.26,2.18,3.6,3.3,2.82,1.78,1.39,1.18,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,0.8,2.26,3.28,0.94,0.4,2.99,1.26,0.92,5.06,4.05,2.17,2.67,2.38,1.93,1.25,1.51,1.29,0.25,3.04,0.1,1.93,2.76,1.67,1.72,1.65,1.87,1.88,3.26,1.55,1.64,3.17,1.63,2.37,2.49,1.08,1.18,1.05,2.84,1.65,1.96,6.21,1.74,2.59,1.2,0.88,1.62,2.36,1.6,0.91,3.12,1.93,0.19,0.78,0.98,2.78,0.26,2.34,2.49,4.79,1.52,1.68,3.69,0.36,1.25,1.37,2.27,3.25,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,0.54,4.39,1.1,3.41,2.51,2.75,1.34,3.3,0.65,4.19,6.09,1.86,3.72,2.22,2.35,1.15,1.72,1.19,3.88,2.57,2.17,2.19,1.95,2.04,3.77,4.5,5.47,1.65,0.94,3.12,4.52,2.08,3.16,4.02,1.09,0.82,1.02,2.02,2.08,3.32,2.4,2.99,3.06,0.63,2.23,5.77,2.14,1.85,2.76,1.13,5.12,4.24,2.3,2.52,3.59,2.65,2.3,2.83,1.17,2.29,2.61,3.62,4.27,1.68,1.26,0.81,5.63,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,1.51,1.07,4.3,3.94,4.95,1.88,2.26,3.54,4.64,3.7,1.4,4.74,1.87,3.31,0.78,3.05,1.5,1.52,1.27,5.75,2.8,4.95,3.56,2.71,3.73,3.55,1.14,3.79,3.46,3.78,5.87,2.95,2.95,2.8,2.9,7.02,1.76,2.23,3.43,1.3,3.35,0.87,5.28,0.94,3.22,2.38,2.88,7.58,2.19,2.28,1.53,2.56,4.22,4.16,3.02,1.16,2.29,6.81,2.48,3.87,5.04,3.13,1.47,0.61,3.01,2.25,1.15,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1.63,4.05,2.46,2.37,1.71,3.18,3.15,1.8,1.68,2.05,2.06,1.6,2.62,3.64,1.21,2.86,2.47,1.51,0.73,1.04,2.47,2.13,2.63,0.73,0.44,0.54,5.07,2.58,1.45,2.75,0.92,3.69,2.97,3.4,2.34,1.22,0.7,0.55,2.31,1.82,0.73,1.01,0.57,4.31,1.36,0.91,2.14,1.58,4.87,2,1.02,1.33,2.58,1.83,4.94,2.18,1.51,2.85,0.94,0.38,6.87,4.84,2.22,0.97,2.81,3.54,2.64,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,5.19,2.92,3.42,3.09,2.51,7.05,4.5,2.15,2.09,1.32,7.36,3.47,2.81,2.2,0.83,3.5,6.16,1.4,1.23,4.85,0.64,3.59,2.53,1.03,3.97,2.84,2.52,2.11,3.58,1.54,3.47,2.4,3.06,2.61,0.45,1.2,3.32,5.12,1.22,2.61,2.22,3.79,1.66,3.76,1.24,4.81,5.95,2.6,2.36,2.36,6.39,1.95,0.86,2.06,1.56,2.41,2.89,2.79,2.6,2.38,3.85,0.67,2.36,2.02,1.87,2.3,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
