CHARLTON-KINGS-THE-GRANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO966203,Long,-2.0508,Lat,51.881252,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,1.16,1.21,0.85,2.98,1.18,3.36,4.42,0.89,3.82,1.36,1.54,3.1,4.25,4.08,2.66,3.59,1.69,3.37,2.01,3.73,3.29,4.32,1.28,5.66,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,1.37,0.88,0.56,4.48,1.25,2.2,1.13,2.92,5.03,4.73,1.19,1.52,2.69,1.03,0.31,3.36,6.57,0.65,4.81,1.87,3.52,2.14,0.52,0.46,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,0.58,3.5,3.82,0.9,2.14,5.69,3.77,3.56,1.13,3.84,2.2,1.48,3.95,3.68,1.66,2.42,2.03,1.08,0.47,0.28,3.61,2.66,0.08,1.88,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,3.07,2.23,1.97,2.82,0.86,0.12,3.62,1.35,1.71,1.23,1.68,2.59,2.61,4.59,1.29,3.17,2.79,2.78,2.11,3.77,1.86,0.82,1.1,2.93,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,2.28,1.77,0.94,1.59,0.82,1.99,2.31,1.9,3.14,2.93,3.14,1.5,1.06,1.5,1.9,0.7,1.87,7.93,3.08,2.72,1.41,0.8,1.9,1.4,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,2.41,0.94,3.44,2.99,1.94,6.29,0.69,3.34,1.39,1.86,1.91,1.1,1.4,2.65,0.33,0.85,0.47,2.21,0.09,2,3.76,2.54,1.37,3.11,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,4.43,1.99,2.51,2.5,0.2,5.49,1.42,3.23,3.77,1.54,2.2,3.36,2.93,5.42,0.65,4.27,1.39,4.47,2.39,2.4,3.14,1.76,1.82,4.19,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,2.01,3.74,2.21,4.93,1.46,8.16,1.02,1.49,4.57,3.01,5.78,1.05,2.56,1.6,2.58,4.85,2.37,3.18,1.95,1.63,3.84,3.21,1.86,2.89,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,0.47,1.27,3.77,0.9,1.53,0.76,2.94,1.26,0.91,1.28,2.11,6.17,1.58,2.49,1.62,2.06,2.61,4.49,3.88,1.26,4.9,0.9,0.32,3.73,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,6.94,1.46,4.06,3.35,2.45,3.33,4.2,2.17,3.15,4.77,3.58,1.41,1.84,2.1,1.46,0.91,5.6,4.35,2.78,2.76,1.47,5.72,4.82,2.05,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
