"CHARLTON KINGS THE GRANGE",,,,,,,,,,,,
Grid ref,SO966203,Long,-2.050800,Lat,51.881252,,,,,,,
Station no,2174,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.16,1.21,0.85,,
February,,,,,,,,1.37,0.88,0.56,,
March,,,,,,,,0.58,3.50,3.82,,
April,,,,,,,,3.07,2.23,1.97,,
May,,,,,,,,2.28,1.77,0.94,,
June,,,,,,,,2.41,0.94,3.44,,
July,,,,,,,,4.43,1.99,2.51,,
August,,,,,,,,2.01,3.74,2.21,,
September,,,,,,,,0.47,1.27,3.77,,
October,,,,,,,,6.94,1.46,4.06,,
November,,,,,,,,1.77,1.30,0.89,,
December,,,,,,,,4.31,2.17,3.90,,
Total,,,,,,,,30.80,22.46,28.92,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.80,22.46,28.92,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
