ARDTUR,,,,,,,,,,
Grid ref,NM913464,Long,-5.398099,Lat,56.563034,Elevation,25,ft,,
Station no,5400/15,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,6.76,5.37,6.09,7.42,4.22,5.63,11.29,7.33,2.53,4.45
February,4.49,3.26,5,4.67,3.87,3.11,3.73,2.91,3.39,5.45
March,4.34,6.52,2.13,4.55,1.2,2.95,8.58,1.2,5.56,2.37
April,4.38,3.09,4.69,2.53,5.82,2.34,2.63,3.11,5.07,5.71
May,0.86,1.99,6.05,3.76,3.25,5.6,2.17,5.68,1.92,3.54
June,2.74,4.85,1.04,5.23,5.47,3.79,4.29,2.12,3.97,3.98
July,6.29,3.37,7.34,4.44,0.68,6.67,5.95,3.55,8.61,5.28
August,7.19,5.14,6.12,4.72,1.95,4.8,5.66,7.58,4.55,4.71
September,7.14,5.89,8.07,10.79,7.64,6.29,3.91,4.89,3.36,3.94
October,4.11,5.39,6.52,13.27,7,5.53,9.7,8.83,7.62,2.71
November,7.16,3.9,13.12,8.97,2.54,6.78,2.87,3.2,8.57,7.45
December,10.07,7.03,7.08,11.21,10.24,11.03,7.43,5.71,11.15,8.84
Total,65.53,55.8,73.25,81.56,53.88,64.52,68.21,56.11,66.3,58.43
,,,,,,,,,,
Station no,5400/15,,,,,,,,,
Midas,13974,,,,,,,,,
Hyd Stn,689907,,,,,,,,,
