"EASTRY",,,,,,,,,,,,
Grid ref,TR313545,Long,1.312538,Lat,51.242755,,,,,,,
Station no,RR4508,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.85,1.26,3.20,1.12,1.59,0.76,,
February,,,,,2.52,0.96,2.39,1.59,1.23,1.04,,
March,,,,,1.30,3.28,1.88,0.69,2.71,4.03,,
April,,,,,1.23,2.80,0.77,2.43,1.86,1.44,,
May,,,,,2.79,1.53,2.06,2.63,1.04,0.92,,
June,,,,,0.88,4.71,2.39,1.84,1.48,2.93,,
July,,,,,1.00,0.87,0.36,1.36,3.61,2.95,,
August,,,,,1.90,2.07,0.55,1.75,3.22,3.06,,
September,,,,,1.68,2.54,2.08,0.43,1.77,2.34,,
October,,,,,2.18,2.50,2.82,5.50,1.65,7.74,,
November,,,,,1.09,3.73,5.23,2.46,1.12,0.55,,
December,,,,,2.51,0.61,2.11,2.64,2.96,4.79,,
Total,,,,,22.93,26.86,25.84,24.44,24.24,32.55,,
Calc annual,0.00,0.00,0.00,0.00,22.93,26.86,25.84,24.44,24.24,32.55,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,,
