LYNE PEEBLESHIRE,,,,,,,,,,
Grid ref,NT201410,Long,-3.2714139,Lat,55.655929,Elevation,725,ft,,
Station no,RR6567,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,3.03,,
February,,,,,,,,2.48,,
March,,,,,,,,1.67,,
April,,,,,,,,3.6,,
May,,,,,,,,1.91,,
June,,,,,,,,1.86,,
July,,,,,,,,5.58,,
August,,,,,,,,1.96,,
September,,,,,,,,2.67,,
October,,,,,,,,2.47,,
November,,,,,,,,0.47,,
December,,,,,,,,2.94,,
Total,,,,,,,,30.64,,
,,,,,,,,,,
Record has elevation of ?560',,,,,,,,,,
