GOUROCK REFREWSHIRE,,,,,,,,,,
Grid ref,NS 23348 77207,Long,-4.831085,Lat,55.95531,Elevation,3,ft,,
Station no,RR8919,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,10.57,5,5.51,12.6,6.4,11.26,8.19
February,,,,6.74,5.58,4.84,9.99,6.98,12.69,10.07
March,,,,3.3,5.32,2.78,4.09,2.9,9.13,1.63
April,,,,6.2,3.15,1.6,2.53,8.36,3.8,2.51
May,,,4.8,3.63,1.79,4.08,1.93,4,4.66,0.34
June,,,5.02,4.29,4.65,1.09,2.79,3.19,2.28,1.82
July,,,6.06,0.62,2.8,3.18,4.82,4.73,1.23,2.2
August,,,4.28,6.1,2.62,6.3,6.95,5.04,7.83,1.26
September,,,2.59,7.4,7.06,1.95,7.73,5.08,2.89,10.82
October,,,10.49,6.52,2.85,6.2,4.68,8.65,6.31,2.4
November,,,3.51,5.88,5.76,4.22,6.8,1.28,4.9,8.78
December,,,9,8.7,4.98,6.48,9.87,6.08,9.78,11.18
Total,,,,69.95,51.56,48.23,74.78,62.69,76.76,61.2
,,,,,,,,,,
Obs identified,,,,,,,,,,
through Valuation Rolls,,,,,,,,,,
,,,,,,,,,,
Station no,RR8919,,,,,,,,,
Mida,,,,,,,,,,
Hyd Stn,,,,,,,,,,
