NEWQUAY COASTGUARD STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SW800628,Long,-5.0981,Lat,50.4242,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,4.34,4.12,2.91,4.57,5.69,5.5,5.18,4.82,3.1,4.22,6.67,4.07,3.82,6.11,1.39,5.79,2.39,4.77,0.82,2.31,3.45,,,,,,,
February,,,1.35,1.27,1.76,2.79,4.67,2.97,1.71,4.23,2.37,2.28,6.38,4.8,3.03,1.06,3.46,2.47,1.71,4.22,3.41,3.63,3.57,,,,,,,
March,,,3.72,2.18,1.49,2,4.45,4.06,2.33,1.87,2.15,1.66,3.15,3.49,1.2,1.37,3.56,2.92,1.76,1.04,2.69,4.52,1.57,,,,,,,
April,,,2.31,1.47,1.55,1,1.62,3.74,2.6,1.35,0.1,4,2.6,0.54,1,2.25,2.18,3.84,2.43,2.03,1.51,1.45,6.6,,,,,,,
May,,,2.53,2.15,1.35,1.7,1.83,2.22,1.48,5.3,1.79,0.55,1.51,1.74,0.73,1.85,0.19,3.2,4.33,1.64,1.5,1.46,2.26,,,,,,,
June,,,3.21,5.1,1.68,1.65,3.07,1.53,0.5,0.53,0.48,1.11,3.57,1.12,2.35,2.11,1.27,2.25,2.93,5.52,2.23,3.7,4.16,,,,,,,
July,,,2.93,1.33,0.94,3.93,1.4,3.65,1.8,0.3,2,4.95,2.3,3.11,1.9,2.26,0.86,3.67,1.79,2.48,3.23,2.88,4.63,,,,,,,
August,,,2,3.88,1.27,4.81,4.53,1.07,2.95,0.76,1.2,2.58,1.42,5.47,2.74,2.14,5.26,4.2,5.49,4.9,0.14,3.52,4.43,,,,,,,
September,,,3.35,3.68,3.15,0.58,7.16,1.18,3.08,4.53,1.6,8.18,2.68,2.26,6.14,5.23,4.25,2.23,3.37,4.08,2.75,3.09,5.15,,,,,,,
October,,,6.3,5,3.8,5.59,2.25,4.79,4.02,1.58,4.75,5.95,7.51,3.21,3.46,4.88,4.66,2.68,4.32,2.03,6.28,4.27,5.3,,,,,,,
November,,,2.52,3.31,3.39,4.88,2.98,0.83,4.05,3.95,3.35,1.53,5.65,3.58,3.51,5.2,3.6,6.05,6.11,1.08,3.16,4.81,5.88,,,,,,,
December,,,4.06,3.91,3.96,3.67,4.25,2.43,8.11,4.25,3.14,4.01,5.4,0.93,6.4,2.37,8.97,3.05,4.16,1.18,6.64,5.18,6.68,,,,,,,
Total,,,38.62,37.4,27.25,37.17,43.9,33.97,37.81,33.47,26.03,41.02,48.84,34.32,36.28,36.83,39.65,42.35,40.79,34.97,34.36,40.82,53.68,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note Observer was WH Tregdigo RN, lifeboat captain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
