OCHTERTYRE (STIRLING),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS751979,Long,-4.012497,Lat,56.157364,Elevation,14,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,8.51,2.7,3.5,2.45,7.83,1.47,2.43,1.35,2.75,4.5,6.46,2.56,3.62,7.16,4.17,1.68,5.39,2.31,4.21,4.59,4.75,1.93,4.28,6.45,4.31,6.34,,2,3.5,,,,,,,,,,,,3.7,3.1,,2.31,5.45,1.38,5.23,4.77,7.3,3.35,
February,0.75,0.48,0.75,5.18,11.69,0.8,1.87,3.14,3.27,2.67,3.74,0.93,1.54,8.25,3.21,2.01,2.69,2.61,2.5,1.93,4.04,5.17,3.39,4.14,4.59,4.08,,0.75,4.85,,,,,,,,,,,,3.8,2.95,,3.34,0.49,3.67,2.26,3.97,1.16,4.68,
March,2.65,3.08,,0.84,3.47,2.59,3.52,4.98,1.13,1.83,0.97,2.26,1.9,8.55,1.94,4.1,3.38,3.6,4.23,2.49,2.56,1.9,4.93,3.35,4.14,3.25,,2.12,0.81,,,,,,,,,,,,2.4,1.18,,3.85,3.1,1.63,2.61,2.32,2.79,3.06,
April,1.5,1.9,1.8,1.28,1.81,2.51,2.6,2.5,4.05,3.31,2.5,3.36,1.31,1.12,4.91,1.93,1.22,2,1.2,3.9,4.43,1.92,1.02,4.03,3.09,2.32,,1.47,0.62,,,,,,,,,,,,1.1,2.46,,1.38,4.07,3.46,1.11,1.76,0.45,2.08,
May,2.61,1.52,4.68,1.75,2.69,0.75,0.51,2.41,2.5,3.42,2.92,1.74,1.95,1.72,3.53,1.86,4.52,4.08,2.25,3.59,1.65,2.11,2.01,4.35,2.02,1.59,,2.82,2.4,,,,,,,,,,,,1.57,4.3,,2.22,2.14,0.23,1.03,2.33,3.67,1.76,
June,3.61,1.55,2.9,1.93,2.3,4,4.15,5.32,2.35,1.5,3.98,3.05,2.32,2.32,2.16,0.98,1.73,4.22,2.13,1.35,3.3,2.1,4.34,2.03,0.89,1.31,,3.97,0.72,,,,,,,,,,,,2.6,5.1,,1.08,2.35,6.7,1.81,0.93,4.68,1.61,
July,3.88,1.65,1.92,5.09,2.1,5.4,3.49,1.55,1.3,0.7,3.18,3.07,2.26,5.49,2.23,1.05,2.03,3.1,3.17,2.3,4.33,2.7,3.56,1.05,3.49,4.28,,1.53,3.12,,,,,,,,,,,,4.25,4.58,,1.97,3.26,0.82,5.17,4.9,4.08,4.95,
August,3.62,4.6,5.62,2.41,2.48,7.27,2.37,5.23,4.89,1.05,3.48,3.78,3.53,4.43,4.44,4.68,3.16,4.68,4.09,3.83,7.78,1.38,4.43,0.35,2.14,3.07,,5.43,2.68,,,,,,,,,,,,6.37,1.93,,2.21,2.54,1.38,2.44,3.7,2.8,1.96,
September,4.91,5,4.86,2.12,0.18,1.55,4.31,2.17,4.85,1.75,2.96,2.16,2.93,4.21,3.21,1.85,2.53,1.31,4,1.76,1.78,1.22,3.75,2.09,1.05,4.78,,1.88,4.93,,,,,,,,,,,,3.75,1.47,,1.51,5.14,5.62,3.05,2.4,3.1,3.32,
October,2.5,5.28,4.53,2.84,3.78,3.37,3.65,2.79,4.38,2.3,5.28,3.3,2.94,9.5,1.47,3.01,5.39,5.55,1.5,6.65,1.81,2.81,4.25,2.34,2.39,2.19,,5,5.4,,,,,,,,,,,,4.95,2.07,,2.5,5.35,7.56,3.94,3.41,7.68,2.91,
November,7.35,3.5,4.19,2.32,3.1,6.43,1.1,3.25,5.9,5.38,5.91,2.8,3.87,1.48,1.45,4.41,3.75,4.73,3.2,1.48,3.71,6.03,3.45,3.49,6.03,2.34,,5.23,3.47,,,,,,,,,,,,3.82,5.25,,2.74,1.26,4.13,2.8,0.74,6.88,7.92,
December,1.57,7.18,1.57,5.46,3.58,4.79,5.57,5.72,5.92,1.95,6.9,4.02,4.51,3.34,4.07,3.59,3.13,5.05,2.2,4.26,3.49,6.5,7.35,4.03,8.17,5.05,,2.7,3.95,,,,,,,,,,,,3.7,2,,0.54,6.29,2.58,6.51,2.59,3.94,1.93,
Total,43.46,38.44,36.32,33.67,45.01,40.93,35.57,40.41,43.29,30.36,48.28,33.03,32.68,57.57,36.79,31.15,38.92,43.24,34.68,38.13,43.63,35.77,46.76,37.7,42.31,40.6,,34.9,36.45,,,,,,,,,,,,42.01,36.39,,25.65,41.44,39.16,37.96,33.82,48.53,39.53,
