"OCHTERTYRE (STIRLING)",,,,,,,,,,,,
Grid ref,NS751979,Long,-4.012497,Lat,56.157364,,,,,,,
Station no,5509,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.89,2.76,1.18,4.04,1.95,2.56,6.23,3.74,1.11,3.68,,
February,3.19,0.75,0.96,3.68,2.57,1.41,3.92,2.08,1.07,3.80,,
March,2.74,3.21,1.75,2.87,1.85,2.40,3.86,1.21,2.39,2.09,,
April,2.41,1.41,2.29,1.68,1.00,0.67,1.67,1.60,3.20,3.38,,
May,1.87,2.67,2.25,4.69,2.71,1.52,2.87,3.14,1.42,2.95,,
June,1.77,2.81,2.05,2.59,1.69,3.22,1.73,2.77,1.54,1.80,,
July,2.82,2.20,5.14,2.23,0.65,5.31,4.73,6.63,5.03,3.48,,
August,5.28,5.56,3.09,3.92,1.50,6.00,4.12,4.80,1.22,3.84,,
September,3.52,2.41,4.72,4.78,2.39,6.18,1.86,5.04,0.81,2.97,,
October,0.79,4.33,2.10,8.34,2.98,3.72,3.13,3.33,3.67,4.06,,
November,5.67,1.89,6.19,6.88,2.11,0.85,1.37,1.59,4.59,4.94,,
December,5.92,4.45,4.92,5.91,7.38,5.25,5.02,5.47,5.71,4.03,,
Total,39.87,34.45,36.64,51.61,28.78,39.09,40.51,41.40,31.76,41.02,,
Calc annual,39.87,34.45,36.64,51.61,28.78,39.09,40.51,41.40,31.76,41.02,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
