"BOLTON W.W (WAYOH) NO.3",,,,,,,,,,,,
Grid ref,SD733163,Long,-2.405337,Lat,53.642524,,,,,,,
Station no,2877,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.75,6.03,2.02,5.72,3.44,7.21,4.61,4.99,3.60,7.24,,
February,3.91,2.48,1.91,4.71,2.77,1.26,3.68,8.98,0.83,4.11,,
March,5.63,3.02,3.27,3.60,2.41,1.97,4.69,2.67,2.42,1.58,,
April,3.13,3.95,3.78,1.13,3.50,3.27,0.83,1.98,4.09,3.52,,
May,2.28,2.29,2.98,3.30,5.05,2.26,2.29,5.47,1.51,2.51,,
June,1.40,3.84,3.13,4.22,3.90,3.00,2.57,5.00,3.10,1.42,,
July,3.85,2.41,7.88,8.81,1.35,7.82,6.96,4.40,5.68,9.93,,
August,5.39,6.02,6.12,6.94,2.07,13.15,8.08,5.00,0.59,6.17,,
September,4.03,5.00,6.31,7.11,5.20,4.17,8.98,5.79,0.45,3.84,,
October,0.79,5.04,2.31,10.14,3.26,4.14,8.34,5.71,6.27,5.76,,
November,9.73,3.24,6.64,8.73,2.73,2.30,2.43,2.48,5.59,9.04,,
December,12.15,5.63,2.53,9.16,7.35,5.33,6.91,5.48,10.83,6.41,,
Total,58.04,48.95,48.88,73.57,43.03,55.88,60.37,57.95,44.96,61.53,,
Calc annual,58.04,48.95,48.88,73.57,43.03,55.88,60.37,57.95,44.96,61.53,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
