WANTAGE-LOCKINGE-RECTORY,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU425872,Long,-1.3880287,Lat,51.582064,Elevation,350,ft.,,,,,,,,,,,,,
Station no,812,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1.06,3.66,1.47,2.46,2.26,2.34,0.58,,,,,
February,,,,,,,,,,0.61,0.66,1.69,0.08,5.11,0.16,2.77,,,,,
March,,,,,,,,,,0.14,0.99,0.19,1.84,3.25,2.32,0.49,,,,,
April,,,,,,,,,,0.98,2.22,2.88,2.78,1.06,2.21,4.39,,,,,
May,,,,,,,,,,1.29,1.75,3.06,6.71,1.02,0.69,,,,,,
June,,,,,,,,,,1.04,1.37,2.25,0.99,1.88,1.25,,,,,,
July,,,,,,,,,,1.32,2.64,3.88,3.5,1.64,1.09,,,,,,
August,,,,,,,,,,0.86,2.29,4.19,1.95,0.39,1.82,,,,,,
September,,,,,,,,,,0.27,3.41,2.67,2.77,3.57,2.16,,,,,,
October,,,,,,,,,,3.3,1.3,0.59,4.54,2.04,1.93,,,,,,
November,,,,,,,,,,7.43,5.07,3.75,1.6,0.77,1.92,,,,,,
December,,,,,,,,,,6.92,3.34,0.94,0.97,0.51,6.42,,,,,,
Total,,,,,,,,,,25.22,28.7,27.56,30.19,23.5,24.31,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,
"NGR is 300 yards west of of church as noted on the record sheet. The gauge moved to Lockinge Estate Office, renamed Kitson Gardesn, in Aptil 1935, the records stated the move was quarter of a mile, however, the distance between locations is 600m which suggests the location may be +/- 200m. Altitudes match. The station number was used for both locations",,,,,,,,,,,,,,,,,,,,,
