MORPETH LONGWITTON HALL,,,,,,,,,,
Grid ref,NZ080886,Long,-1.8758842,Lat,55.191613,Elevation,570,ft,,
Station no,RR8816,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,3.75,4.05,2.69,2.58,,,,
February,,,3.69,1.05,2.36,4.1,,,,
March,,,2.38,4.15,3.26,2.32,,,,
April,,,0.22,3.7,1.17,1.6,,,,
May,,,2.38,3.13,1.62,1.92,,,,
June,,,5.61,1.54,5.71,0.76,,,,
July,,,3.38,1.45,2.07,3.9,,,,
August,,,6.03,1.87,2.24,3.58,,,,
September,,,2.83,3.6,1.33,1.97,,,,
October,,,4.89,2.65,3.31,1.67,,,,
November,,,2.31,2.28,5.11,1.87,,,,
December,,,3.27,2.5,8.02,5.57,,,,
Total,,,40.74,31.97,38.89,31.84,,,,
