EVESHAM (HIGH ST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP040445,Long,-1.943021,Lat,52.098825,Elevation,135,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2426/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.83,1.47,2.83,2.6,,,,,,1.55,1.9,0.61,2.75,2.47,,4.21,2.76,2.43,2.36,,1.73,1.23,2.11,1.66,4.21,1,0.4,2.39,1.79,0.79,1,2.34,3.07,1.51,2.18,3.69,3.88
February,,,,,0.42,2.47,2.42,2.72,,,,,,2.83,0.35,2.02,1.68,3.08,,0.84,1.97,1.79,0.43,,1.04,1.52,1.47,1.1,1.06,0.83,3.88,2.29,0.65,1.03,2.16,1.07,0.58,2.15,3.17,0.12,1.57
March,,,,,0.92,0.37,0.64,1.8,,,,,,2.17,1.46,0.47,2.38,3,,1.46,1.66,1.91,1.95,,0.29,0.99,0.91,5.2,1,1.4,1.13,3.27,1.91,1,1.68,1.74,0.59,1.86,1.01,1.95,0.99
April,,,,,2.48,1.26,2.77,1.55,,,,,,0.88,1.87,3.17,2.21,2.34,,2.27,2.67,0.85,0.9,,1.36,0.81,2.36,1.82,1.86,2.17,1.85,2.77,2.16,1.91,0.45,0.87,1.15,0.06,0.87,2.23,1.13
May,,,,,5.11,2.77,4.67,1.15,,,,,,1.72,0.62,1.72,0.62,2.37,,0.83,2.04,1.76,2.91,,0.78,1.95,2.57,1.39,3.27,2.76,2.19,3.47,2.5,1.61,2.38,4.68,0.79,0.76,2.27,1.49,1.27
June,,,,,1.49,0.38,1.81,2.61,,,,,,2.25,0.74,2.82,2.24,1.7,,1.7,0.45,1.85,0.08,,2.21,2.47,2.22,1.35,2.52,0.27,1.78,0.62,1.58,1.8,2.62,2.86,1.87,1.03,2.82,0.79,2.24
July,,,,,3.88,3.18,1.62,3.51,,,,,,1.36,1.38,0.54,5.48,3.36,,5.2,3.09,3.83,1.09,,2.62,1.25,1.43,1.93,0.98,1.27,2.63,0.76,0.4,4.9,2.31,0.44,2.22,4.39,3.28,1.44,3.59
August,,,,,3.61,1.79,1.97,2.93,,,,,,0.6,1.7,1.13,0.45,0.9,,1.84,0.25,3.98,2.8,,3.1,1.76,4.08,0.54,2.72,1.47,3.67,4,4.61,2.92,3.25,0.32,4.39,3.24,2.63,0.71,4.02
September,,,,,4,3.44,0.78,4.41,,,,,,1.72,1.74,2.88,3.31,2.53,,0.73,0.89,0.65,1.17,,2.65,1.78,3.21,1.53,2.92,1.6,3.32,2.09,0.83,2.06,2.04,1.34,2.37,3.3,3.56,0.13,4.85
October,,,,4.9,4.24,3,2.76,1.25,,,,,,3.34,1.07,2.98,1.02,2.31,,2.76,3.06,2.38,2.33,,2.94,3.26,0.53,0.28,2.55,5.05,0.59,1.22,3.8,1.71,3.02,1.1,2.36,1.19,2.28,2.26,4.88
November,,,,1.13,1.77,1.24,5.04,1.92,,,,,,0.74,1.65,4.09,1.85,1.46,,4.3,5.74,2.36,1.51,,3.87,0.43,4.3,1.4,1.31,2.2,3.97,5.62,2.48,0.8,4.91,1.83,0.64,1.57,2.3,3.01,3.56
December,,,,2.18,1.99,2.4,0.37,2.6,,,,,,0.34,4.28,3.01,2.21,1.63,,1.67,1.38,1.39,2.74,,1.52,3.31,1.88,1.82,2.59,1.3,1.56,1.61,2.38,0.8,1.67,1.88,2.84,1.93,2.09,4.07,2.51
Total,,,,,32.74,23.77,27.68,29.05,,,,27.57,27.38,19.5,18.76,25.44,26.2,27.15,,27.81,25.96,25.18,20.27,,24.11,20.76,27.07,20.02,26.99,21.32,26.97,30.11,25.09,21.33,27.49,20.47,22.87,22.99,28.46,21.89,34.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 total not transcribed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 total arithmetic wrong on record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10261,EVESHAM: HIGH STREET ,01/01/1931,31/12/1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
