LYMINGTON-SWAY,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ280982,Long,-1.60383,Lat,50.78305,Elevation,150,ft,,,,,,,,,,,,
Station no,RR8736,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,1.59,7.44,2.14,4.95,1.17,2.14,,,,,,,,
February,,,,,,,3.19,2.14,2.39,4.66,3.72,3.6,,,,,,,,
March,,,,,,,3.84,2.08,2.33,0.67,0.91,2.78,,,,,,,,
April,,,,,,,1.69,2.67,3.67,2.63,2.52,0.62,,,,,,,,
May,,,,,,,0.36,2.8,4.02,1.66,0.29,1.38,,,,,,,,
June,,,,,,,1.65,0.9,1.1,4.38,2.91,1.84,,,,,,,,
July,,,,,,,0.85,3,2.26,4.52,3.41,1.41,,,,,,,,
August,,,,,,,2.17,3.28,3.51,6.16,1.6,4.55,,,,,,,,
September,,,,,,,3.5,2.33,2.28,3.52,3.71,2.18,,,,,,,,
October,,,,,,,3.1,2.56,3.7,1.42,4.83,1.47,,,,,,,,
November,,,,,,,5.33,8.17,2.76,0.36,3.29,4.75,,,,,,,,
December,,,,,,,8.49,2.19,1.66,0.8,5.28,4,,,,,,,,
Total,,,,,,,35.76,39.56,31.82,35.73,33.64,30.72,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
The Hollies Now called Sway Place,,,,,,,,,,,,,,,,,,,,
