LECK VICARAGE [KIRKBY LONSDALE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD640765,Long,-2.553109,Lat,54.183004,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,4.17,2.42,4.96,1.63,2.22,3.2,4.36,5.42,4,2.86,3.57,5.3,5.28,6.94,3.16,4.24,3.23,,,,,,
February,,,,,,,,,2.84,2.8,5.68,5.25,1.64,2.1,2.95,4.05,3.72,1.58,5.59,1.47,4.41,0.21,4.01,3.54,0.86,,,,,,
March,,,,,,,,,3.35,2.54,0.68,1.76,5.11,4.47,4.64,1.82,2.26,2.38,1.69,4.71,4.35,4.75,2.46,1.33,1.49,,,,,,
April,,,,,,,,,2.03,3.55,1.92,3.56,1.11,3.79,1.01,2.4,2.9,2.04,1.51,2.18,4.39,1.15,1.28,3.2,1.79,,,,,,
May,,,,,,,,,3.26,2.34,2.05,1.88,2.63,2.48,2.73,1.08,4,2.32,1.76,1.58,6.33,3.01,2.61,3.4,6.12,,,,,,
June,,,,,,,,,3.07,2.86,2.33,3.61,7.08,2.77,1.63,0.68,2.81,2.97,1.61,1.57,2.7,0.49,3.01,0.77,3.26,,,,,,
July,,,,,,,,,4.68,7.67,4.92,0.54,5.21,1.03,4.01,4.92,2.91,1.76,5.71,1.7,7.26,1.67,5.58,4.87,4.26,,,,,,
August,,,,,,,,5.34,3.47,4.46,7.49,4.52,5.78,2.97,3.13,3.54,4.91,8.87,4.95,4.24,2.27,6.76,5.38,5.92,4.2,,,,,,
September,,,,,,,,0.72,6.35,3.24,0.35,4.2,2.08,3.42,2.79,1.27,2.56,4.49,9.1,3.43,2.71,2.38,3.31,5.26,4.82,,,,,,
October,,,,,,,,3.67,1.96,5.15,2.69,4.26,4.45,2.35,2.31,0.87,7.3,4.21,4.61,2.96,1.03,3.44,0.85,7.46,4.65,,,,,,
November,,,,,,,,3.63,3.34,2.49,3.04,5.38,5.01,4.68,5.83,2.03,3.14,3.83,2.56,2.39,2.47,2.56,2.67,6.73,4.16,,,,,,
December,,,,,,,,5.57,2.75,6.79,3.98,5.95,4.62,3.41,4.46,5.93,3.71,2.57,7.11,5.22,2.89,7.08,4.7,3.99,7.11,,,,,,
Total,,,,,,,,,41.27,46.31,40.09,42.54,46.94,36.67,39.85,34.01,44.22,39.88,49.77,36.75,46.09,40.44,39.02,50.71,45.95,,,,,,
