BOSTON - CHURCH TOWER TOP,,,,,,,,,,
Grid ref,TF327442,Long,-0.025,Lat,52.979,Elevation,282,ft,,
Station no,RR4729,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,0.56,0.77,,,,,,,
February,0.55,0.90,0.65,,,,,,,
March,0.51,0.43,0.46,,,,,,,
April,1.17,0.65,0.85,,,,,,,
May,0.66,0.22,1.08,,,,,,,
June,2.35,1.28,1.07,,,,,,,
July,4.04,2.38,1.39,,,,,,,
August,1.70,2.25,1.21,,,,,,,
September,-999.00,1.29,1.93,,,,,,,
October,-999.00,1.12,2.04,,,,,,,
November,-999.00,0.98,0.94,,,,,,,
December,-999.00,0.92,1.44,,,,,,,
Total,,12.98,13.83,,,,,,,
,,,,,,,,,,
TYRain_1880-1889_08_pt1/023,,,,,,,,,,
,,,,,,,,,,
"# These readings were taken at the top of Boston Stump, about 260 ft above ground level,",,,,,,,,,,
# as part of a series of experiments to compare the amount of rainfall collected well above ground level.,,,,,,,,,,
# An article in British Rainfall 1880 discusses the results.,,,,,,,,,,
#,,,,,,,,,,
"# As the readings differ so much from standard ground level readings, they should not be used for other purposes!",,,,,,,,,,
#,,,,,,,,,,
# Readings for September - December 1880 are grouped into a single aggregate reading of 7.03 on the sheet.,,,,,,,,,,
