BOSTON - CHURCH YARD,,,,,,,,,,,
Grid ref,TF327442,Long,-0.025,Lat,52.979,Elevation,22,ft,,,
Station no,RR4729,,,,,,,,,,
,,,,,,,,,,,
,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885
January,1.79,2.09,2.93,1.35,0.99,0.17,1.09,1.68,,,1.43
February,1.69,2.00,2.10,1.22,2.16,1.78,3.39,1.62,,,1.48
March,0.40,2.44,1.34,0.87,0.46,1.27,1.75,1.08,,,0.54
April,1.48,3.51,3.13,1.18,2.26,2.52,1.20,2.33,,,1.08
May,1.07,0.90,1.28,4.02,3.16,1.14,0.74,1.67,,1.02,1.41
June,2.35,3.19,1.23,1.81,4.00,3.88,2.26,2.84,,0.46,2.08
July,3.85,1.95,2.84,1.27,3.41,5.84,3.59,2.57,,2.09,0.51
August,2.08,1.74,2.88,5.48,2.85,2.29,4.10,2.22,,1.28,1.34
September,2.17,5.22,2.02,1.43,3.47,4.77,2.42,3.41,,1.17,2.93
October,3.63,1.13,3.29,2.01,0.61,6.91,2.49,4.48,,0.99,4.51
November,4.68,2.56,1.82,3.51,1.13,1.82,2.26,2.69,,1.60,2.85
December,1.18,4.00,1.51,1.43,0.69,1.89,2.16,3.69,,1.86,0.75
Total,26.37,30.73,26.37,25.58,25.19,34.28,27.45,30.28,,,20.91
,,,,,,,,,,,
TYRain_1870-1879_06_pt3/023,,,,,,,,,,,
TYRain_1880-1889_08_pt1/022,,,,,,,,,,,
