"NELSON (RED SPA MOOR)",,,,,,,,,,,,
Grid ref,SD910352,Long,-2.138167,Lat,53.813005,,,,,,,
Station no,2973,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.54,6.26,2.22,4.36,3.25,5.88,4.72,4.66,3.22,6.20,,
February,4.55,1.85,3.75,4.38,3.50,2.05,4.32,7.98,1.02,5.11,,
March,5.50,2.70,2.15,3.55,1.94,2.18,4.64,2.31,2.19,1.90,,
April,2.39,3.75,4.10,1.01,3.00,3.05,0.55,1.64,3.59,3.05,,
May,4.18,2.36,2.38,4.18,3.90,1.73,1.66,5.42,2.20,2.26,,
June,2.16,3.44,3.65,2.99,3.48,2.10,2.34,5.33,4.02,1.46,,
July,4.69,3.10,6.32,6.80,0.98,4.73,5.50,3.96,3.30,8.66,,
August,4.61,6.20,6.95,8.74,1.27,12.27,5.95,5.28,1.05,7.33,,
September,2.92,4.89,4.59,6.55,3.22,4.82,6.48,5.40,0.31,3.58,,
October,1.50,5.78,2.42,9.45,3.07,3.05,6.79,4.00,5.41,5.77,,
November,10.71,2.90,5.59,7.10,2.50,2.14,2.92,1.90,5.79,8.45,,
December,11.02,4.70,2.50,7.50,6.59,6.72,5.88,4.60,7.84,6.30,,
Total,59.77,47.93,46.62,66.61,36.70,50.72,51.75,52.48,39.94,60.07,,
Calc annual,59.77,47.93,46.62,66.61,36.70,50.72,51.75,52.48,39.94,60.07,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
