"NELSON, RED SPA MOOR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD910352,Long,-2.138167,Lat,53.813005,Elevation,1285,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.18,5.95,5.09,3.98,3.2,2.8,1.34,5.16,4.53,5.14,6.45,2.9,2.7,5.85,,7.15,5.33,4.95,5.1,8.74,3.82,4.29,5.54,6.26,2.22,4.36,3.25,5.88,4.72,4.66,3.22,6.2
February,,,,,,,,,,0.85,0.95,4.72,0.27,2.32,0.31,4.05,2.75,6.13,1.56,4.25,2.92,6.44,2.2,,3.14,5.6,6.05,1.91,,5,6.26,4.55,1.85,3.75,4.38,3.5,2.05,4.32,7.98,1.02,5.11
March,,,,,,,,,,1.07,2.35,0.4,2.2,2.15,1.91,1.51,2.42,4.55,1.95,2.43,3.36,4.05,5.5,,0.78,1.75,2.04,8.44,,2.51,3.08,5.5,2.7,2.15,3.55,1.94,2.18,4.64,2.31,2.19,1.9
April,,,,,,,,,,1.35,3.95,3.18,2.84,1.7,2.94,2.42,1.25,3.13,0.59,2.05,2.34,2.54,1.68,,3,2.56,2.96,3.29,2.66,4.73,3.9,2.39,3.75,4.1,1.01,3,3.05,0.55,1.64,3.59,3.05
May,,,,,,,,,,2.47,2.04,2.31,4,2.54,2.17,0.83,0.92,2.6,4.1,1.22,1.4,2.15,3.09,,3.35,4.46,2.09,2.48,1.32,2.86,2.39,4.18,2.36,2.38,4.18,3.9,1.73,1.66,5.42,2.2,2.26
June,,,,,,,,,,2.1,2,5.83,0.97,2.05,2.54,4.5,4.47,2.15,4.05,3.12,0.82,0.39,1.3,3.73,3.75,3.8,3.07,2.18,6.08,0.82,3.8,2.16,3.44,3.65,2.99,3.48,2.1,2.34,5.33,4.02,1.46
July,,,,,,,,,,2.77,6.2,4.39,3.78,2.65,2,1.38,4.78,2.14,4.83,6.3,4.65,1.9,5.82,3.21,3.27,3.17,4.24,3.87,2.39,2.62,5.2,4.69,3.1,6.32,6.8,0.98,4.73,5.5,3.96,3.3,8.66
August,,,,,,,,,,6.13,6.51,4.4,1.45,1.3,3.42,1.69,3.59,2.05,6.64,3.42,2.65,6.15,3.8,6.74,3.07,4.34,8.21,0.26,4.66,3.2,7.28,4.61,6.2,6.95,8.74,1.27,12.27,5.95,5.28,1.05,7.33
September,,,,,,,,,,1.63,3.6,4.51,5.65,1.65,3.3,7.03,4.95,2.22,2.14,1.43,3.64,0.75,2.95,4.38,7.3,2.88,8.77,2.49,3.68,1.5,7.3,2.92,4.89,4.59,6.55,3.22,4.82,6.48,5.4,0.31,3.58
October,,,,,,,,,,5.15,5.3,2.54,6.04,3.85,3.79,9.22,4.5,2.7,7,4.44,4.14,6.25,8.49,3.4,4.85,6.09,1.47,1.15,3.2,5.65,3.55,1.5,5.78,2.42,9.45,3.07,3.05,6.79,4,5.41,5.77
November,,,,,,,,,,6.92,5.05,4.8,2.44,2.7,2.27,5.9,5.17,1.97,5.82,6.95,6.06,3.33,1.45,3.08,7.72,0.76,6.2,4.88,2.9,7.04,5.79,10.71,2.9,5.59,7.1,2.5,2.14,2.92,1.9,5.79,8.45
December,,,,,,,,,,8.25,2.88,1.75,1.9,0.55,6.03,3.61,3.92,3.43,5.61,2.7,4.4,2.9,4.63,2.95,4.84,3.25,4.79,2.1,4.51,7.2,3.69,11.02,4.7,2.5,7.5,6.59,6.72,5.88,4.6,7.84,6.3
Total,,,,,,,,,,41.87,46.78,43.92,35.52,26.66,33.48,43.48,43.88,37.6,49.43,44.76,39.28,39.55,46.76,,52.22,43.99,54.84,38.15,,46.95,56.53,59.77,47.93,46.62,66.61,36.7,50.72,51.75,52.48,39.94,60.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 arithmetic incorrect on record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Jan-May and tot estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1948 Feb, March and total estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
