"PETERBOROUGH (WOODSTON)",,,,,,,,,,,,
Grid ref,TL179975,Long,-0.262134,Lat,52.562568,,,,,,,
Station no,1137,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.42,1.49,0.97,0.79,1.86,3.88,0.95,2.40,2.97,3.14,,
February,3.04,0.43,1.67,2.09,2.03,0.64,2.33,3.08,0.12,2.13,,
March,3.09,2.56,0.68,2.16,2.06,0.81,1.45,1.34,1.79,1.58,,
April,2.78,1.44,1.57,0.22,0.71,0.92,0.25,0.66,1.40,0.24,,
May,3.13,1.85,1.51,2.96,2.88,0.79,1.63,2.41,0.65,0.93,,
June,1.18,1.45,3.16,2.28,2.17,2.39,1.95,5.08,0.21,2.39,,
July,0.62,0.35,1.77,1.83,0.29,3.10,3.89,2.91,2.30,3.11,,
August,4.40,3.33,2.20,4.12,1.33,4.20,1.72,1.78,0.81,1.93,,
September,1.40,2.34,0.64,1.74,1.91,1.45,4.43,2.16,0.01,2.96,,
October,1.00,2.48,2.19,2.06,1.74,1.04,0.98,1.90,1.20,3.75,,
November,3.47,2.55,1.39,4.48,1.05,0.84,1.68,1.47,1.46,3.20,,
December,1.55,1.64,0.48,2.15,1.42,1.83,2.08,2.20,3.75,3.07,,
Total,28.08,21.91,18.23,26.88,19.45,21.89,23.34,27.39,16.67,28.43,,
Calc annual,28.08,21.91,18.23,26.88,19.45,21.89,23.34,27.39,16.67,28.43,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
