"BRADFORD (LEESHAW RES)",,,,,,,,,,,,
Grid ref,SE011351,Long,-1.984776,Lat,53.812186,,,,,,,
Station no,3273,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.01,6.58,1.90,4.06,2.70,6.57,5.28,5.30,4.21,7.14,,
February,5.00,1.95,2.67,3.55,2.82,1.96,4.15,8.82,0.74,5.53,,
March,5.80,2.71,2.46,3.22,2.78,2.89,4.29,3.04,2.15,2.16,,
April,2.81,3.10,4.17,0.71,2.05,3.62,0.44,1.82,4.67,3.32,,
May,4.34,2.53,2.67,4.17,3.93,2.07,1.22,6.59,1.75,2.00,,
June,1.50,3.56,4.56,2.67,3.20,3.63,3.80,5.83,3.32,1.11,,
July,3.68,2.46,6.24,5.65,0.91,5.86,5.30,4.39,3.36,6.52,,
August,4.77,6.88,6.80,9.50,1.57,10.27,6.32,4.95,1.36,4.69,,
September,3.43,5.03,6.01,7.34,2.67,4.93,6.47,4.77,0.26,2.89,,
October,1.86,5.93,2.62,9.93,3.71,2.97,6.16,4.41,6.18,6.83,,
November,11.40,2.39,7.07,8.12,3.11,1.96,2.92,1.72,5.66,8.22,,
December,12.70,5.36,2.84,8.65,7.27,5.80,6.45,5.83,9.82,6.65,,
Total,63.30,48.48,50.01,67.57,36.72,52.53,52.80,57.47,43.48,57.06,,
Calc annual,63.30,48.48,50.01,67.57,36.72,52.53,52.80,57.47,43.48,57.06,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
