BRADFORD LEESHAW RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE011351,Long,-1.984776,Lat,53.812186,Elevation,875,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,
January,,,,,,,1.53,6.91,5.65,1.05,0.62,0.46,4.35,5.48,6.2,3.3,6.25,2.14,1.59,2.8,7.58,3.47,4.38,1.78,6.32,3.15,2.47,1.82,4.98,9.17,6.7,3.45,4.35,5.8,5.86,3.14,8.8,2.43,4.71,3.4,7.1,2.74,5.78,5.4,4.55,8.2,5.98,2.95,3.88,5.85,4.95,9.8,5.25,6.27,3.72,6.57,6.45,5.38,13.23,2.24,8.37,6.08,5.91,3.7,5.57,2.8,6.41,6.39,7.88,7.15,2.7,3.4,5.05,7.03,8.31,4.34,5.68,4.68,10.96,3.04,3.67,6.01,6.58,1.9,4.06,2.7,6.57,5.28,5.3,4.21,7.14,,,,,,,,
February,,,,,,,5.35,5.27,1.85,3.74,4.99,5.58,4.36,2.73,3.4,3.21,2.05,0.78,0.63,2.74,0.88,0.72,3,6.76,8.57,0.6,2.27,2.31,3.88,2.85,4.75,1.9,1.65,7.7,6.45,4,4.15,4.05,3.31,3.85,6.91,6.7,2.62,3,4.81,6.82,6.42,0.77,8.15,1.96,4.65,0.47,6.43,8.18,1.61,8.55,5.27,2.44,7.2,0.73,1.43,6.32,0.27,5.23,0.49,10.11,3.14,7.59,2.53,6.54,2.16,6.82,1.86,3.83,2.44,6.35,8.04,3.32,4.01,4.3,7.38,5,1.95,2.67,3.55,2.82,1.96,4.15,8.82,0.74,5.53,,,,,,,,
March,,,,,,,6.11,5.04,4.03,2.19,3.65,7.34,5.05,1.2,3.11,3,4.12,2.31,3.85,2.82,4.85,2.98,0.95,0.73,4.48,3.72,7.24,6.7,2.85,2.9,0.82,4.9,2.55,8,3.05,4.75,4.25,4.8,4.35,3.14,1.24,3.12,6.15,7.92,6.34,1.5,3.65,3.38,1.96,5.69,3.92,4.02,4.02,2.71,1.65,1.84,3.06,4.64,3.57,1.02,3.63,0.59,4.06,2.87,3.4,2.69,3.08,2.95,1.66,3.92,3.79,4.48,3.36,1.54,0.49,1.73,1.67,7.41,2.2,1.64,3.1,5.8,2.71,2.46,3.22,2.78,2.89,4.29,3.04,2.15,2.16,,,,,,,,
April,,,,,,,3.21,3.06,2.15,2.62,2.37,1.92,5.88,2.74,1.5,2.2,3.34,1.08,3.28,3.41,1.73,3.25,2.04,0.93,2.59,3.18,2.98,3.94,3.75,4.05,2.5,3.65,2.4,3.2,2.3,4.29,2.24,3.46,3.18,4.37,4.3,2.97,1.45,5.28,2.45,2.58,4.47,2.31,1.2,2.37,6.29,1.75,4.23,4.46,2.54,4.14,2.74,3.47,1.32,1.52,4.26,4.32,5.15,2.24,2.89,4.37,1.75,3.1,0.73,2.43,4.16,2.92,2.45,2.79,3.91,2.84,1.67,4.29,3.51,5.22,4.94,2.81,3.1,4.17,0.71,2.05,3.62,0.44,1.82,4.67,3.32,,,,,,,,
May,,,,,,,0.92,3.2,4.19,0.8,2.95,2.6,1.76,1.25,2.3,3.65,5.95,1.99,1.66,2.36,3.82,3.87,4.44,2.14,2.78,0.5,0.83,2.76,3.38,3.2,2.45,1.46,3.75,4.23,3.3,0.84,3.9,3.54,2.77,2.84,3.5,1.92,2.97,3.88,2.07,1.95,3.03,2.55,3,2.67,5.48,2.09,1.64,5.61,6.7,5.57,4.08,1.84,1.47,3.5,2.57,3.38,4.5,2.62,3.32,0.99,1.74,3.07,4.76,1.59,1.94,2.83,4.2,3.59,3.71,4.52,1.96,3.26,1.07,2.93,2.52,4.34,2.53,2.67,4.17,3.93,2.07,1.22,6.59,1.75,2,,,,,,,,
June,,,,,,,3.17,1.71,3.49,5.55,4.93,2.65,5.35,3.25,0.94,3.9,1.6,0.29,2.55,0.71,4.61,1.9,4.1,2.95,4.01,2.12,4.06,4.18,3.4,2.05,4.5,1.7,1.6,1.72,2.12,3.4,1.73,7.47,2.56,2.26,3.22,4.92,7.33,2.41,2.1,0.6,3.2,2.5,2.28,1.6,2.18,0.18,2.71,1.27,2.61,0.07,2.95,4.4,6.62,1.88,2.44,6.62,1.35,2.67,2.69,4.47,4.37,2.61,5.3,3.97,0.84,0.47,1.21,4.63,3.33,4.49,3.17,3.12,5.52,0.72,2.18,1.5,3.56,4.56,2.67,3.2,3.63,3.8,5.83,3.32,1.11,,,,,,,,
July,,,,,,,3.53,4.57,0.75,2.07,4.9,4.95,2.5,2.55,4.95,1.7,5.2,2.24,6.5,3.1,3.96,3.87,3.48,4.89,4.25,7.38,1.97,2.35,1.42,2.05,1.7,2.27,4.1,5.15,3.35,2.5,2.57,2.99,4.86,6.24,4.4,0.89,6.1,1.42,3.92,5,3.7,2.56,4.23,2.52,7.52,2.67,5.69,5.16,4.94,2.14,3.3,3.13,1.56,2.91,7.44,5.62,4.73,3.44,3.06,2.36,4.33,2.97,4.95,7.16,4.79,2.02,4.7,2.37,3.67,2.97,4.28,2.8,1.97,3.32,4.27,3.68,2.46,6.24,5.65,0.91,5.86,5.3,4.39,3.36,6.52,,,,,,,,
August,,,,,,,3.88,5.7,5.75,4,1.81,4.55,2.18,2.56,1.35,1.85,1.63,1.91,4.61,5.97,6.51,8.18,4.72,4.53,5.28,5.25,2.79,5.45,5.75,1.92,5.1,3.4,4,5.8,6.1,3.37,4.35,4.54,3.85,3.6,6.63,2.65,7.75,1.6,2.65,5.01,3.19,6.8,3,3.6,2.05,6.35,5.13,6.97,5.32,5.79,4.33,7.27,5.68,4.23,6.73,5.32,1.4,1.33,4.11,1.75,3.23,2.67,6.09,4.25,2.08,8.46,4.98,6.49,3.92,4.89,7.29,0.31,4.86,2.82,6.74,4.77,6.88,6.8,9.5,1.57,10.27,6.32,4.95,1.36,4.69,,,,,,,,
September,,,,,,,4.81,4.08,5.85,2.08,4.84,2.7,1.97,6.8,3,5.3,3.45,4.61,1.7,2.91,2.16,3.75,3.74,4.94,0.52,2.23,7.52,5.25,1.31,7.4,1.7,1.25,2.3,6.9,1.4,2.83,1.63,0.86,3.9,3.9,0.42,3.72,2.56,1.08,3,1.77,2.94,2.45,12.5,1.97,2.2,1.9,5.93,6.34,5.64,3.76,4.38,6.1,0.75,1.72,5.16,4.52,7.13,2.12,3.02,8.09,5.07,1.79,2.42,2.01,5,0.53,3.35,4.77,7.93,3.19,8.09,2.97,3.38,1.34,8.43,3.43,5.03,6.01,7.34,2.67,4.93,6.47,4.77,0.26,2.89,,,,,,,,
October,,,,,,,2.74,5.98,5.25,3.22,4.53,4.7,4.1,6.2,3.05,7.45,5.58,3.23,2.35,6.15,3.75,5,8.99,5.48,6.43,5.7,5.7,2.2,6.5,3.8,6.84,3.5,5.5,14.8,2.45,4.38,8.08,5.58,2.38,5.32,4.66,4.75,5.65,2.4,2.7,2.02,7.57,8.4,3.5,2.7,2.5,3.15,0.88,6.46,5.35,6.68,4.3,5.86,6.73,6.15,6.31,3.24,8.62,6.12,6.38,12.69,6.39,2.66,11.55,3.38,5.03,6.13,8.36,2.89,5.1,7.13,1.24,1.48,2.34,5.44,3.62,1.86,5.93,2.62,9.93,3.71,2.97,6.16,4.41,6.18,6.83,,,,,,,,
November,,,,,,,4.71,6.68,3.51,1.49,4.46,5.75,7.56,5.85,1.35,3.62,3.45,3.45,11.61,1.62,7.79,5.51,2.95,4.5,3.59,6,1.43,5.22,3.67,2.5,5.3,7.55,3.4,4.32,5.65,6,6.71,3.5,3.74,2.5,6.62,6.1,4.85,6.62,8.5,2.46,5.48,6.65,2.5,4.83,3.5,2.61,2.61,8.2,4.02,2.96,8.56,6.16,8.65,9.37,7.39,9.36,4.16,2.8,2.57,7.82,7.03,2.38,8.22,8.37,8.39,3.87,1.99,4.18,8.11,0.84,8.21,7.95,2.4,7.72,6.29,11.4,2.39,7.07,8.12,3.11,1.96,2.92,1.72,5.66,8.22,,,,,,,,
December,,,,,,,8.33,5.97,2.06,3.56,7.45,4.7,4.7,3.98,6.46,1.85,6.35,4.25,3.8,3.92,0.74,10.28,2.6,5.33,4.54,5.82,6.2,8,7.5,3.78,5.55,6.15,7.1,4.15,4.45,1.9,4.8,5.67,3.5,6.5,8.44,8.3,6.87,4.1,8.96,9.04,4.48,2.3,9,8.65,4.8,8.29,5.77,5.21,7.16,5.79,3.06,1.84,3.3,12.7,4.75,2.3,2.38,0.59,6.95,4.74,6.49,2.58,5.02,3.44,4.8,3.21,4.63,3.19,5.87,3.39,4.65,5.18,5.2,9.84,3.54,12.7,5.36,2.84,8.65,7.27,5.8,6.45,5.83,9.82,6.65,,,,,,,,
