TOUCH GARDENS,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 75149 92697,Long,-4.009276,Lat,56.110662,Elevation,90,ft,,,,,,,,,,,,
Station no,5357/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,5.84,7.96,6.05,8.53,2.02,6.39,5.49,9.93,4.78,1.49,1.68,,,,,,,,,
February,4.49,0.06,3.39,0.47,4.43,2.1,5.7,2.44,7.08,2.35,4.77,,,,,,,,,
March,1.12,2.55,3.09,3.88,1.78,3.18,2.85,3.91,3.98,3.21,2.7,,,,,,,,,
April,2.66,5.6,1.5,4.89,4.17,1.47,2.3,0.56,2.51,5.06,1.71,,,,,,,,,
May,4.68,3.7,3.54,2.07,0.27,1.17,2.43,4.15,1.71,1.26,2.77,,,,,,,,,
June,6.46,2,1.04,2.21,5.75,1.83,2.61,5.42,2.64,0.88,0.87,,,,,,,,,
July,4.56,2.51,3.34,3.15,0.79,4.55,3.72,4.62,5.07,5.26,2.74,,,,,,,,,
August,2.1,1.16,2.45,4.35,2.36,2.27,3.4,2.62,1.85,1.04,4.12,,,,,,,,,
September,1.65,3.53,1.04,5.6,6.99,5.07,3.04,3.94,3.29,2.74,1.59,,,,,,,,,
October,3.5,6.13,3.85,7.71,10.28,5.32,4.4,9.69,3.05,6.3,4.9,,,,,,,,,
November,9.83,3.99,2.87,0.83,4.89,3.77,0.72,9.96,9.63,6.34,4.26,,,,,,,,,
December,4.35,10.13,0.87,7,3.42,8.15,2.69,4.41,2.34,5.28,2.16,,,,,,,,,
Total,51.24,49.32,33.03,50.69,47.15,45.27,39.35,61.65,47.93,41.21,34.27,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5357/5,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
