YETHOLM (OLD GRADEN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT798300,Long,-2.321832,Lat,55.563256,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5041/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.69,3.59,2.69,2.25,5.68,1.12,4.03,2.58,1.97,0.98,4.88,1.21,2.3,6.34,1.67,1.39,2.88,2.12,1.27,2.56,2.67,2.68,3.2,1.51,1.8,4.13
February,,,,,1.42,4.58,2.68,1.15,1.25,1.71,4.75,1.97,0.93,2.05,1.86,0.61,2.69,1.27,0.86,3.91,2.56,0.68,1.53,1.4,4.8,3.44,2.85,2.53,0.41,2.37
March,,,,,1.65,1.83,3.41,0.75,3.38,3.65,2.47,1.3,1.04,1,0.65,2.05,4.85,0.84,1.04,1.21,3.73,1.08,0.24,1.26,1.37,0.73,1.69,2.11,0.58,1.51
April,,,,,3.24,2.36,1.04,0.33,1.72,1.31,1.47,0.46,0.9,1.47,1.03,0.66,3.27,2.07,1.46,2.33,2.7,2.54,3.35,0.63,0.61,0.7,0.5,2.76,1.74,1
May,,,,,0.97,1.97,3.69,2.47,0.95,1.72,1.97,1.49,4.18,3.33,4.57,1.34,2.95,1.15,1.09,1.92,3.4,1.56,2.57,5.16,1.82,0.86,1.48,2.44,0.46,1.27
June,,,,,3.57,2.05,1.74,3.23,2.49,0.79,0.9,1.43,2.96,2.33,2.34,2.07,3.42,3.9,1.14,2.29,1.64,1.96,1.91,2.18,1.34,2.53,1.12,3.72,2.72,1.17
July,,,,,1.3,4.46,3.52,3.06,2.69,8.81,1.49,3.41,1.57,1.99,1.2,3.58,3.3,1.45,2.36,2.86,2.74,1.35,4.39,3.07,1.75,3.88,3.37,4.7,1.76,2.81
August,,,,,4.77,1.51,2.71,1.79,1.83,0.99,2.79,1.65,4.26,2.09,3.35,6.96,0.4,10.35,2.74,3.33,3.4,4.92,3.06,7.26,1.07,9.12,4.98,2.2,0.44,4.37
September,,,,,2.2,2.92,2.29,2.07,1.28,3,0.65,2.43,1.62,5.53,2.52,2.15,1.47,2.49,1.65,3.96,1.11,3.2,3.65,2.16,2.24,3.07,2,2.11,0.86,1.91
October,,,,,4.18,1.49,3.27,4.27,4.61,2.75,3.76,2.67,2.23,2.37,2.8,0.84,0.68,2.69,5.87,1.7,0.62,2.93,1.48,4.09,2.19,1.28,1.97,1.28,1.64,6.65
November,,,,,3.57,3.85,0.69,3.35,2.49,3.09,2.53,0.57,1.96,5.29,0.72,3.9,3.11,1.73,3.27,5.5,5.87,5.16,2.04,2.96,1.05,0.86,1.72,0.85,5.76,2.34
December,,,,,1.23,1.43,4.44,2.49,1.5,2.69,0.65,1.67,0.8,2.66,1.17,1.59,1.97,1.79,3.27,1.92,1.72,4.27,1.69,2.96,3.89,2.53,2.08,4.07,4.02,1.99
Total,,,,,29.79,32.04,32.17,27.21,29.87,31.63,27.46,21.63,24.42,31.09,27.09,26.96,30.41,36.07,26.42,32.32,32.37,31.77,27.18,35.69,24.8,31.68,26.96,30.28,22.19,31.52
