KILNINVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM823218,Long,-5.523757,Lat,56.338362,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5411/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,10.49,7.16,9.28,4.32,4,10.54,10.85,3.45,1.15,0.36,7.47,6.94,8.54,4.34,9.35,5.41,8.1,9.36,6.08,7.95,5.65,6.61,,,,,,,
February,,0.06,7.52,1.56,8.02,3.71,4.91,5.21,10.4,3.71,5.52,2.75,7.78,2.85,9.39,4.22,0,7.83,6.8,7.72,5.4,3.39,4.15,,,,,,,
March,,3.36,4.43,2.88,4.11,3.63,1.24,9.84,3.67,5.3,3.07,3.3,3.28,1.89,5.89,3.66,2.62,6.08,4.15,6.1,4.07,5.3,2.73,,,,,,,
April,,4.37,5.05,2.97,3.55,1.65,2.78,0.97,2.99,2.82,2.4,2.5,6.46,4.24,2.2,2.67,8.08,5.09,9.78,4.03,5.38,3.71,3.43,,,,,,,
May,,2.37,3.18,4.33,0.68,3.69,2.6,4.52,1.79,2.43,1.68,2.81,4.19,5.71,4.24,0.96,3.42,1.46,2.96,2.38,0.7,1,4.45,,,,,,,
June,,1.48,4.62,2.53,4.51,3.12,4.84,7.39,2.75,1.23,2.08,3.67,5.32,6.2,4.75,5.03,4.1,5.42,1.88,5,2.38,4.94,1.16,,,,,,,
July,,6,5.33,3.85,4.29,4.62,7.6,5.76,8.62,5.36,3.92,5.68,4.2,2.71,3.63,5.23,5.2,6.22,2.4,6.56,5.56,2.77,6.36,,,,,,,
August,,4.85,6.32,5.71,6.6,4.85,5.65,4.57,2.76,4.87,5.63,7.98,8.2,5.4,2.56,5.81,0.05,6.86,8.03,7.74,4.85,6.35,7.64,,,,,,,
September,,7.02,1.29,9.93,11.33,3.83,6.18,6.41,3.92,5.71,3.47,9.51,5.7,4.54,6.29,6.47,8.23,11.34,3.46,9.52,4.38,4.55,11.91,,,,,,,
October,,10.39,3.95,11.04,12.06,8.91,4.56,12.47,2.26,9.28,5.87,10.23,14.16,7.29,5.79,0.39,4.2,12.76,6.88,9.64,5.05,6.88,7.75,,,,,,,
November,,7.27,2.94,3.19,7.29,4.97,2.17,13.36,11.28,9.15,5.74,2.26,5.3,7.04,0.69,5.45,10.14,6.55,9.33,6.74,8.78,2.16,11.34,,,,,,,
December,,7.7,4.28,8.25,4.68,10.07,3.17,7.42,4.33,8.44,4.77,11.99,5.13,7.79,5.39,8.34,4.06,9.29,11.69,3.27,12.99,7.78,8.15,,,,,,,
Total,,65.36,56.07,65.52,71.44,57.05,56.24,88.77,58.22,59.45,44.51,70.15,76.66,64.2,55.16,57.58,55.51,87,76.72,74.78,67.49,54.48,75.68,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5411/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,683190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
