CORRIS-PANTPERTHOG,,,,,,,,,,,,,,,,,,,,
Grid ref,SH750053,Long,-3.8483608,Lat,52.631016,Elevation,200,ft.,,,,,,,,,,,,
Station no,4346/4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,8,13.22,12.3,5.18,3.55,,,11.24,5.63,12.98,5.99,,,
February,,,,,,2.64,13.08,5.09,10.48,5.46,5.11,,,3.58,11.61,9.68,2.1,,,
March,,,,,,3.18,3.58,5.1,3.55,6.51,5.11,,,1.09,4.92,2.93,12.41,,,
April,,,,,,3.23,6.52,0.88,4.51,4.43,2.44,,,3.91,3.77,1.82,5.26,,,
May,,,,,,1.96,2.27,3.03,0.64,2.17,5.41,,,5.83,7.02,2.45,3.84,,,
June,,,,,,7.78,5.28,9.68,4.18,0.8,1.68,,,5.98,6.95,6.53,3.65,,,
July,,,,,,9.67,4.39,8.59,12.66,8.47,4.73,,,5.85,2.23,5.69,5.69,,,
August,,,,,,4.36,1.8,6.02,6.07,2.19,10.79,,,3.96,4.69,8.06,0.99,,,
September,,,,,,7.62,4.69,3.57,2.55,8.57,2.45,,,7.63,5.15,13.11,4.85,,,
October,,,,,,6.98,3.08,16.04,2.71,10.1,10.43,,,9.15,5.12,2.09,1.39,,,
November,,,,,,10.21,4.48,11.26,17.67,13.95,5.43,,,12.6,0.67,10.01,11.63,,,
December,,,,,,11.62,5.5,7.17,8.49,8.81,7.8,,,5.63,7.07,8.72,9.33,,,
Total,,,,,,,62.67,89.65,85.81,76.64,64.93,,,76.45,64.83,84.07,67.13,,,
,,,,,,,,,,,,,,,,,,,,
NGR is around Pant Pant Perthog at the stated altitude.,,,,,,,,,,,,,,,,,,,,
"Gauge appears to have moved around the site, 400 yards is mentioned, but not too clear from where to where.",,,,,,,,,,,,,,,,,,,,
"Finally moved in 1948 to Montgomeryshire to Esgairgeiliog Camp, a move of about 1km.",,,,,,,,,,,,,,,,,,,,
